"id" "minor" "coverage" "error"
"etort-131" 10 71753 0.000139366995108218
"etort-132" 16 76126 0.000210177863016578
"etort-133" 5 49738 0.000100526760223572
"etort-134" 12 113036 0.000106160869103648
"etort-135" 33 49879 0.000661601074600533
"etort-136" 4 60252 0.0000663878377481245
"etort-137" 23 86476 0.000265969748832046
"etort-138" 20 56390 0.000354672814328782
"etort-139" 7 53185 0.000131616057158973
"etort-140" 2 43015 0.0000464954085784029
"etort-141" 22 86681 0.000253804178539703
"etort-142" 7 45515 0.000153795452048775
"etort-143" 13 86164 0.000150875075437538
"etort-144" 7 35717 0.00019598510513201
"etort-145" 6 48704 0.000123193166885677
"etort-146" 14 57473 0.000243592643502166
"etort-147" 7 70953 0.0000986568573562781
"etort-148" 4 43036 0.0000929454410261177
"etort-149" 7 51075 0.000137053352912384
"etort-150" 18 74538 0.000241487563390485
"etort-151" 21 100908 0.000208110357949816
"etort-152" 33 100892 0.000327082424771042
"etort-153" 10 59301 0.000168631220384142
"etort-154" 17 69743 0.000243752061138752
"etort-155" 26 81854 0.00031763872260366
"etort-156" 8 49788 0.000160681288663935
"etort-157" 4 31952 0.000125187781672509
"etort-158" 31 103538 0.000299406981011802
"etort-159" 12 58472 0.000205226433164592
"etort-161" 17 66617 0.000255190116636895
"etort-162" 21 72605 0.000289236278493217
"etort-163" 12 40891 0.000293463109241642
"etort-164" 12 43891 0.000273404570413069
"etort-166" 15 52894 0.000283586040004537
"etort-167" 28 111865 0.000250301702945515
"etort-168" 22 85185 0.000258261431003111
"etort-169" 14 79246 0.00017666506826843
"etort-170" 16 58309 0.000274400178360116
"etort-172" 16 64358 0.000248609341496007
"etort-173" 16 43478 0.000368002208013248
"etort-174" 12 84554 0.000141921139153677
"etort-175" 31 115734 0.000267855599910139
"etort-176" 7 57896 0.000120906452950117
"etort-177" 16 79048 0.00020240866309078
"etort-178" 12 55122 0.000217698922390334
"etort-179" 22 92592 0.000237601520649732
"etort-180" 17 71766 0.000236880974277513
"etort-181" 22 96907 0.00022702178377207
"etort-182" 5 48132 0.00010388099393335
"etort-183" 40 142087 0.000281517661714302
"etort-184" 10 51627 0.000193697096480524
"etort-185" 12 50632 0.000237004266076789
"etort-186" 1 45751 0.000021857445738891
"etort-187" 35 146722 0.000238546366598056
"etort-188" 20 38469 0.000519899139566924
"etort-190" 16 47532 0.00033661533282841
"etort-195" 11 32458 0.000338899500893462
"etort-196" 14 30566 0.000458025256821305
"etort-202" 25 48466 0.000515825527173689
"etort-203" 20 60087 0.000332850699818596
"etort-208" 18 44713 0.00040256748596605
"etort-209" 16 36976 0.00043271311120727
"etort-210" 11 64122 0.000171547986650448
"etort-211" 19 59190 0.000321000168947457
"etort-213" 13 31877 0.000407817548702826
"etort-214" 10 96124 0.00010403229162332
"etort-215" 4 41954 0.0000953425179959003
"etort-216" 16 94497 0.000169317544472311
"etort-217" 7 80852 0.0000865779448869539
"etort-218" 5 48246 0.000103635534552087
"etort-219" 9 68316 0.000131740734235025
"etort-220" 10 72702 0.000137547797859756
"etort-221" 4 40318 0.0000992112704003175
"etort-222" 19 46807 0.000405922191125259
"etort-223" 6 47255 0.000126970690932177
"etort-224" 13 66018 0.000196915992608077
"etort-225" 9 34620 0.000259965337954939
"etort-226" 6 49719 0.000120678211548905
"etort-228" 4 29835 0.000134070722306016
"etort-229" 1 65444 0.0000152802395941568
"etort-230" 3 66641 0.000045017331672694
"etort-231" 6 52650 0.000113960113960114
"etort-232" 14 69207 0.000202291675697545
"etort-233" 26 45286 0.000574128869849402
"etort-234" 7 51008 0.000137233375156838
"etort-235" 8 33390 0.000239592692422881
"etort-236" 13 33842 0.000384138053306542
"etort-237" 12 36709 0.000326895311776404
"etort-238" 47 40088 0.00117242067451606
"etort-239" 17 31726 0.000535838113849839
"etort-240" 12 44935 0.000267052409035273
"etort-241" 10 89857 0.000111287935274937
"etort-242" 11 101013 0.000108896874659697
"etort-243" 21 131590 0.000159586594726043
"etort-244" 8 49634 0.000161179836402466
"etort-245" 17 40857 0.00041608537092787
