"","V1","V2","V3","V4","V5"
"m2_12tmean","m2_11tmean: 0.986","m2_02tmean: 0.976","m2_12tmax: 0.973","m2_02tmin: 0.971","m2_01tmin: 0.968"
"m2_12tmin","m2_01tmin: 0.996","m2_11tmin: 0.985","m2_02tmin: 0.968","m2_12tmean: 0.96","m2_11tmean: 0.929"
"m2_ann_precip","m2_03_precip: 0.972","m2_04_precip: 0.969","m2_11_precip: 0.968","m2_12_precip: 0.963","m2_01_precip: 0.956"
"m2_anntmax","m2_10tmax: 0.996","m2_04tmax: 0.996","m2_03tmax: 0.991","m2_09tmax: 0.989","m2_04tmean: 0.984"
"m2_anntmean","m2_04tmean: 0.997","m2_10tmean: 0.995","m2_03tmean: 0.991","m2_09tmean: 0.99","m2_03tmax: 0.983"
"m2_anntmin","m2_04tmin: 0.993","m2_10tmin: 0.992","m2_09tmin: 0.985","m2_03tmin: 0.984","m2_10tmean: 0.977"
"nlcd_30","imperv_30: -0.525","barren_30: -0.455","shrub_30: 0.382","local_ro_30: -0.363","grass_herb_30: 0.346"
"northness_30","aspect_30: -0.551","slope_30: -0.281","annual_precip: -0.276","m2_03tmax: 0.242","m2_02tmax: 0.239"
"parking_30","imperv_30: 0.105","ramps_30: 0.1","local_ro_30: 0.097","secondar_30: 0.079","nlcd_30: -0.061"
"pedestri_30","local_ro_30: 0.09","m2_07tmax: -0.089","m2_06tmax: -0.088","tree_err_30: 0.086","m2_02_precip: 0.082"
"pr_ss2_st","pr_ss2: 0.806","bdrock_ss2_st: -0.22","m2_07_precip: 0.213","slope_30: 0.209","bedrock_ss2: -0.207"
"pr_ss2","pr_ss2_st: 0.806","m2_08_precip: 0.318","m2_07_precip: 0.313","m2_09_precip: 0.295","lon_gcs_30: 0.252"
"primary_30","ramps_30: 0.51","imperv_30: 0.301","local_ro_30: 0.277","nlcd_30: -0.154","shrub_30: -0.121"
"private_30","local_ro_30: 0.23","secondar_30: 0.172","shrub_30: -0.153","imperv_30: 0.146","grass_herb_30: 0.134"
"ramps_30","imperv_30: 0.533","primary_30: 0.51","local_ro_30: 0.46","secondar_30: 0.316","nlcd_30: -0.272"
"road_30","m2_03_precip: 0.273","m2_04_precip: 0.246","m2_07tmean: -0.246","win_precip: 0.243","m2_07tmax: -0.243"
"secondar_30","local_ro_30: 0.348","ramps_30: 0.316","imperv_30: 0.304","shrub_30: -0.209","private_30: 0.172"
"service_30","local_ro_30: 0.069","m2_02_precip: 0.066","m2_01_precip: 0.064","shrub_30: -0.064","win_precip: 0.056"
"shrub_30","tree_err_30: -0.47","barren_30: -0.422","imperv_30: -0.414","local_ro_30: -0.395","tree_30: -0.385"
"slope_30","avg_rough_30: 0.93","surfarea_30: 0.878","annual_precip: 0.569","m2_03tmax: -0.566","m2_04tmax: -0.555"
"summer_precip","surfarea_30: NA","tree_30: NA","tree_err_30: NA","vehicula_30: NA","win_precip: NA"
"surfarea_30","avg_rough_30: 0.96","slope_30: 0.878","tree_err_30: 0.455","m2_02_precip: 0.41","m2_01_precip: 0.408"
"tree_30","tree_err_30: 0.842","m2_11_precip: 0.81","m2_04_precip: 0.787","m2_12_precip: 0.78","m2_05_precip: 0.771"
"tree_err_30","tree_30: 0.842","m2_03_precip: 0.813","m2_01_precip: 0.806","m2_ann_precip: 0.801","m2_02_precip: 0.794"
"vehicula_30","road_30: -0.119","lon_gcs_30: 0.114","m2_08_precip: 0.097","shrub_30: 0.096","win_precip: -0.085"
"win_precip","annual_precip: 0.969","m2_01_precip: 0.879","m2_02_precip: 0.874","m2_12_precip: 0.867","m2_03_precip: 0.863"
