"longitude","latitude","id"
"-115.51200734361","35.5929220559148","etort-141"
"-115.466762868377","35.5842949694232","etort-142"
"-115.490825945993","35.508173459244","etort-143"
"-115.452445809321","35.4960299418984","etort-144"
"-115.494472500684","35.5360863804495","etort-145"
"-115.511928382546","35.5763143855787","etort-146"
"-115.428548877265","35.6043579281899","etort-147"
"-115.250494393824","35.4975523377259","etort-148"
"-115.309953464061","35.5335871296868","etort-149"
"-115.482329075588","35.5840412408552","etort-150"
"-115.270426363988","35.4764553435681","etort-151"
"-115.308451395421","35.5158238155725","etort-152"
"-115.332597539235","35.5223446560733","etort-153"
"-115.297472739468","35.5025789990931","etort-154"
"-115.323640975346","35.5298655322856","etort-155"
"-115.271977494436","35.5079862499619","etort-156"
"-115.453310914295","35.5899560902959","etort-157"
"-115.495436969432","35.5800945141514","etort-158"
"-115.419060821067","35.4917023035739","etort-159"
"-115.410489322228","35.4729815119185","etort-161"
"-115.438352783126","35.4814233444945","etort-162"
"-115.465700345358","35.5705688310711","etort-163"
"-115.47430425118","35.5614190789637","etort-164"
"-115.453407690069","35.5763168794689","etort-166"
"-115.429865168621","35.5776622904291","etort-167"
"-115.461046138187","35.5992779821696","etort-168"
"-115.434278453506","35.6185056208371","etort-169"
"-115.305462484107","35.6290050245753","etort-170"
"-115.301938594538","35.5993042709826","etort-172"
"-115.302783631503","35.6193931327914","etort-173"
"-115.326825367395","35.6344964903321","etort-174"
"-115.333017120576","35.629876389654","etort-175"
"-115.342780616225","35.6335270900675","etort-176"
"-115.345133017697","35.6169082004756","etort-177"
"-115.344027184853","35.6250247967254","etort-178"
"-115.336433322351","35.604094829365","etort-179"
"-115.352195730347","35.6407422922419","etort-180"
"-115.343890868922","35.6508967441156","etort-181"
"-115.36427505358","35.6045662217156","etort-182"
"-115.364161680629","35.5960361608567","etort-183"
"-115.344285167239","35.6076919231834","etort-184"
"-115.344548257923","35.5959936541327","etort-185"
"-115.328282178669","35.6679271550521","etort-186"
"-115.319190282166","35.5946058089797","etort-187"
"-115.304640571436","35.4725955188778","etort-188"
"-115.310149543845","35.473718590017","etort-189"
"-115.301848221371","35.4874587445954","etort-190"
"-115.278091826847","35.4922066691804","etort-191"
"-115.290914537818","35.4889721895131","etort-192"
"-115.283264775512","35.4837788926966","etort-193"
"-114.546243272557","36.7470151862181","etort-194"
"-116.825165439746","34.7568580069188","etort-195"
"-116.030844302017","36.3961418360022","etort-196"
"-115.814980947164","36.1172279668602","etort-197"
"-114.936066293666","35.9778576910494","etort-202"
"-115.285326355314","35.8036485259805","etort-203"
"-117.095740330596","35.0325866665555","etort-208"
"-117.121483540401","35.2113306676927","etort-209"
"-114.850082865056","35.2605631320712","etort-210"
"-117.400866368112","35.0624678181434","etort-211"
"-117.491083201826","35.0427941219951","etort-212"
"-116.483088432025","34.7592499941499","etort-213"
"-117.270612455642","34.8762031499782","etort-214"
"-116.535129674157","35.1090297302216","etort-215"
"-116.668580815193","35.1075022600931","etort-216"
"-116.928079262158","34.9484522475996","etort-217"
"-117.224345152375","35.0075651297159","etort-218"
"-117.008336756037","34.9721982963961","etort-219"
"-116.84664956283","34.6073701367563","etort-220"
"-115.518776369857","33.5669529710153","etort-221"
"-115.358536500868","33.4732887107514","etort-222"
"-115.474728400439","33.4852797629607","etort-223"
"-115.593252719851","33.5135845339034","etort-224"
"-114.891720594801","33.1749523387866","etort-225"
"-114.853063760174","33.4853366981331","etort-226"
"-114.971337675692","33.4185356721674","etort-227"
"-115.317116643209","34.045019110861","etort-228"
"-117.661114986347","35.3206471400667","etort-229"
"-115.022857601909","34.4686809812158","etort-230"
"-114.690346939324","34.5313209234434","etort-231"
"-114.940384972963","35.5948916823495","etort-232"
"-115.196769231991","35.8013879304075","etort-233"
"-114.992617899529","35.6498436446063","etort-234"
"-114.988972178227","36.3157725768534","etort-235"
"-115.33614324651","36.2883436902084","etort-236"
"-114.964444205261","36.6073245667641","etort-237"
"-114.45608376016","36.7679398323004","etort-238"
"-114.837742261982","37.073670373509","etort-239"
"-114.979669651797","37.0247918831701","etort-240"
"-114.920058230951","36.8609534079555","etort-241"
"-114.602975951338","36.8674613199051","etort-242"
"-114.206407586522","37.000079190677","etort-243"
"-115.422239631239","34.0916364488636","etort-244"
"-116.805445677641","34.606436645438","etort-245"
"-114.851080099135","34.735379005635","etort-247"
"-114.793695093025","34.4843131168496","etort-248"
"-114.942015949663","35.3962425647852","etort-249"
"-114.987599344687","35.70324370626","etort-250"
"-115.286274719201","35.9918826282424","etort-251"
"-115.253856847781","35.845934993571","etort-252"
"-114.677293218979","34.5529898055523","etort-253"
"-116.860262135479","34.5808283744992","etort-254"
"-116.500074241158","35.1245800781304","etort-255"
"-114.70596530409","34.5095994747077","etort-256"
"-117.669816135388","34.7982001680626","etort-257"
"-114.965022754753","35.7405176999987","etort-258"
"-115.350800668979","34.8886529569729","etort-259"
"-115.350800668979","34.8886529569729","etort-260"
"-114.595516088896","34.287091968851","etort-261"
"-115.238845795733","33.3651148738209","etort-262"
"-115.515996837207","33.5083631414056","etort-263"
"-115.42415598298","33.491762347728","etort-264"
"-114.924494104774","35.3281143172674","etort-265"
"-114.83165910818","35.8782944773559","etort-266"
"-114.789964241862","35.1656889408683","etort-267"
"-115.036918881842","35.6858848671295","etort-268"
"-115.768237164979","35.9882444682192","etort-269"
"-114.890648422447","35.2814349110525","etort-270"
"-114.871189655669","35.6088512039398","etort-271"
"-115.029220528979","35.7548563571472","etort-272"
"-114.652731558444","34.5669804987534","etort-273"
"-115.662710236929","35.0650813995056","etort-274"
"-115.384274929086","33.5011957781289","etort-275"
"-116.79002174019","34.5854982885591","etort-276"
"-116.860107784982","34.8024789187498","etort-277"
"-114.600293533014","34.4726880551347","etort-278"
"-114.966618437982","36.5321266643564","etort-282"
"-114.910772080194","36.9916842517565","etort-283"
"-116.881552777005","34.8209429063318","etort-284"
"-115.885310362881","36.5421818735034","etort-285"
"-115.302974332372","35.8484959573846","etort-286"
"-114.71406598764","34.4666027088103","etort-287"
"-114.893863575781","36.7584379010876","etort-288"
"-114.729993510894","36.7605513268772","etort-289"
"-115.281656694553","35.50339148032","etort-296"
"-115.431453805135","35.5397547512833","etort-297"
