"longitude","latitude","id","group"
-115.410431606931,35.3256102030856,"etort-55","N"
-115.757064402634,35.578343455226,"etort-56","N"
-115.53178852325,33.6102879552894,"etort-57","S"
-115.204879999349,37.3569081612568,"etort-58","N"
-114.969271007641,35.7830567830983,"etort-59","N"
-116.809812764693,34.5470596569465,"etort-60","S"
-115.798882180519,33.6885211032329,"etort-61","S"
-114.905246501574,36.0420172309427,"etort-62","N"
-115.67247610567,34.08695759322,"etort-63","S"
-116.039913378411,34.072576408395,"etort-64","S"
-115.738338474371,33.8416998135833,"etort-65","S"
-116.257006773093,34.0814218343457,"etort-66","S"
-116.173598253166,34.0261649816022,"etort-67","S"
-116.151768278465,34.1092566270132,"etort-68","S"
-116.461284981346,34.7162312770007,"etort-69","S"
-115.626227058192,35.0944098200892,"etort-70","S"
-115.540705383988,33.6695265366041,"etort-71","S"
-115.693654843728,33.4876321438528,"etort-72","S"
-115.54885378917,34.105921470499,"etort-73","S"
-116.546087468415,34.765984854478,"etort-74","S"
-115.693656200797,35.0899255979122,"etort-75","N"
-115.676328282462,35.0835523400268,"etort-76","N"
-115.711261404367,34.7011652410455,"etort-77","S"
-115.797671894278,36.5347497696555,"etort-78","N"
-115.680758228958,35.9449516491279,"etort-79","N"
-115.780506640523,36.0155780167117,"etort-80","N"
-115.403677750224,35.4049407828882,"etort-81","N"
-115.383853477011,35.3929567480483,"etort-82","N"
-115.384550056603,35.3988803411475,"etort-83","N"
-115.381740822908,35.3719489814981,"etort-84","N"
-115.403315867108,35.374706364681,"etort-85","N"
-114.936563392673,36.9577966555835,"etort-86","N"
-115.640308035648,36.0215709271842,"etort-87","N"
-115.549280189115,35.1347539257595,"etort-88","N"
-115.371214398341,35.392381257211,"etort-89","N"
-115.359693820592,35.4192090689341,"etort-90","N"
-115.564138769675,35.1061238477304,"etort-91","N"
-115.634494047909,35.4216468514833,"etort-92","N"
-115.973963958989,35.9766392064575,"etort-93","N"
-115.723460064938,35.6158496544243,"etort-94","N"
-115.364658262493,35.9385543867718,"etort-95","N"
-115.508850434214,34.6854481383794,"etort-96","S"
-114.62347987925,34.5198861118624,"etort-97","S"
-115.00325981792,34.5440983459969,"etort-98","S"
-114.838885853954,34.6873804931761,"etort-99","S"
-114.542313057567,34.3646500609047,"etort-100","S"
-114.932071986155,34.4516524624106,"etort-102","S"
-115.442287001765,34.5739702641869,"etort-103","S"
-114.961343338897,34.6435371698632,"etort-104","S"
-114.784021796613,34.571229792758,"etort-105","S"
-115.033315652448,33.352379258318,"etort-106","S"
-115.106939406162,33.3043581192906,"etort-107","S"
-114.844820956214,33.2282180117511,"etort-108","S"
-115.411820633109,33.5236106965185,"etort-109","S"
-115.250248866829,33.3027889445674,"etort-110","S"
-115.26195538855,33.4081777337399,"etort-111","S"
-114.850985990173,35.7687318611999,"etort-112","N"
-115.084669814972,35.7263102704553,"etort-113","N"
-115.081202777939,34.9284852865129,"etort-115","S"
