"","WBD2","WBD4","WBD6","WBD8","WBD10","handpicked_WBD8"
"etort-273",2,3,4,4,33,2
"etort-274",1,1,1,7,38,13
"etort-275",1,2,2,10,59,5
"etort-276",1,2,3,3,43,4
"etort-277",1,1,1,7,18,8
"etort-278",2,3,4,4,29,2
"etort-282",2,4,5,15,32,6
"etort-283",2,4,5,15,86,6
"etort-284",1,1,1,7,18,8
"etort-285",3,5,6,18,50,12
"etort-286",3,5,6,14,73,9
"etort-287",2,3,4,4,33,2
"etort-288",2,4,5,15,85,6
"etort-289",2,4,5,15,90,6
"etort-296",3,5,6,14,37,9
"etort-297",3,5,6,14,67,9
