"etort","weight"
"etort-104",0.1
"etort-105",0.0625
"etort-106",0.111111111111111
"etort-107",0.142857142857143
"etort-108",0.25
"etort-109",0.0769230769230769
"etort-110",0.166666666666667
"etort-111",0.1
"etort-112",0.0833333333333333
"etort-113",0.0454545454545455
"etort-115",0.142857142857143
"etort-116",0.142857142857143
"etort-117",0.166666666666667
"etort-119",0.333333333333333
"etort-120",0.166666666666667
"etort-121",0.0909090909090909
"etort-122",0.0909090909090909
"etort-123",0.0909090909090909
"etort-124",0.1
"etort-125",0.0833333333333333
"etort-126",0.0833333333333333
"etort-127",0.0833333333333333
"etort-128",0.0833333333333333
"etort-129",0.0769230769230769
"etort-130",0.0136986301369863
"etort-131",0.0151515151515152
"etort-132",0.0135135135135135
"etort-133",0.0136986301369863
"etort-134",0.0135135135135135
"etort-135",0.0133333333333333
"etort-136",0.0140845070422535
"etort-137",0.0133333333333333
"etort-138",0.0135135135135135
"etort-139",0.0140845070422535
"etort-140",0.0140845070422535
"etort-141",0.0147058823529412
"etort-142",0.0138888888888889
"etort-143",0.00667141078099982
"etort-144",0.0133333333333333
"etort-145",0.0131578947368421
"etort-146",0.0138888888888889
"etort-147",0.0147058823529412
"etort-148",0.0140845070422535
"etort-149",0.0140845070422535
"etort-150",0.0138888888888889
"etort-151",0.0135135135135135
"etort-152",0.0138888888888889
"etort-153",0.0138888888888889
"etort-154",0.0136986301369863
"etort-155",0.0140845070422535
"etort-156",0.00680303591262495
"etort-157",0.0140845070422535
"etort-158",0.0136986301369863
"etort-159",0.0133333333333333
"etort-161",0.0133333333333333
"etort-162",0.0133333333333333
"etort-163",0.0138888888888889
"etort-164",0.0138888888888889
"etort-166",0.0138888888888889
"etort-167",0.0142857142857143
"etort-168",0.0144927536231884
"etort-169",0.0149253731343284
"etort-170",0.0144927536231884
"etort-172",0.0140845070422535
"etort-173",0.0149253731343284
"etort-174",0.0144927536231884
"etort-175",0.0147058823529412
"etort-176",0.0147058823529412
"etort-177",0.0147058823529412
"etort-178",0.0151515151515152
"etort-179",0.0144927536231884
"etort-180",0.0147058823529412
"etort-181",0.0147058823529412
"etort-182",0.0144927536231884
"etort-183",0.0140845070422535
"etort-184",0.0144927536231884
"etort-185",0.0144927536231884
"etort-186",0.0147058823529412
"etort-187",0.0144927536231884
"etort-188",0.0133333333333333
"etort-189",0.0133333333333333
"etort-190",0.0133333333333333
"etort-191",0.0133333333333333
"etort-192",0.0135135135135135
"etort-193",0.0135135135135135
"etort-194",0.2
"etort-195",0.1
"etort-196",0.5
"etort-197",0.166666666666667
"etort-202",0.2
"etort-203",0.037037037037037
"etort-208",0.166666666666667
"etort-209",0.333333333333333
"etort-210",0.1
"etort-211",0.166666666666667
"etort-212",0.166666666666667
"etort-213",0.333333333333333
"etort-214",0.166666666666667
"etort-215",0.166666666666667
"etort-216",0.142857142857143
"etort-217",0.125
"etort-218",0.1
"etort-219",0.142857142857143
"etort-220",0.125
"etort-221",0.0666666666666667
"etort-222",0.0833333333333333
"etort-223",0.0833333333333333
"etort-224",0.0909090909090909
"etort-225",0.25
"etort-226",0.333333333333333
"etort-227",0.2
"etort-228",0.142857142857143
"etort-229",0.333333333333333
"etort-230",0.166666666666667
"etort-231",0.25
"etort-232",0.0666666666666667
"etort-233",0.0416666666666667
"etort-234",0.0769230769230769
"etort-235",0.333333333333333
"etort-236",1
"etort-237",0.25
"etort-238",0.2
"etort-239",0.2
"etort-240",0.2
"etort-241",0.142857142857143
"etort-242",0.25
"etort-243",0.333333333333333
"etort-244",0.142857142857143
"etort-245",0.125
"etort-247",0.142857142857143
"etort-248",0.0625
"etort-249",0.0909090909090909
"etort-250",0.0714285714285714
"etort-251",0.166666666666667
"etort-252",0.0714285714285714
