"etort","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6","PC 7","PC 8","PC 9","PC 10"
"etort-17",0.0656278746216765,0.0306298356191128,-0.0355056481365302,-0.0751192658122614,0.0434358201834334,0.0124306885168598,-0.0238571317549734,0.0147688120754934,-0.00269655208280024,-0.00921191465574991
"etort-18",-0.0502077466189719,-0.0204304301605444,-0.0545575009111232,0.00825479803804877,-0.00642548113633667,0.0245497358905615,0.00196181155583408,0.00198392484108904,-0.0128961220280878,0.00565367689405047
"etort-19",-0.0510380208391177,0.00430169188145907,-0.029823939327035,-0.00445307734534171,-0.0049116262850632,-0.0161285180419141,0.00133647200691754,-0.000327183600797929,0.00087333278300078,-0.00414464792661903
"etort-20",-0.0530179785816421,0.00823125709650849,-0.0402734878778162,-0.00341561071448402,-0.00766151516648367,-0.0176003972948963,0.00225640297273349,0.000932701454889245,0.00138035733584119,-0.000886491597357694
"etort-21",-0.0484138307559977,-0.0308274966407843,-0.0679372155604607,0.0154009650559515,-0.00765099755785817,0.0396166237121857,-0.00130229018613459,-0.001940622882282,-0.0220234461892252,0.00689011494067765
"etort-22",-0.0396106759017832,-0.0232319695982891,-0.0507296904524988,0.00986751574830077,-0.00636855901677208,0.0269912875420597,-0.000838596922344115,-0.00156129949842584,-0.0151061080953562,0.00272858094855213
"etort-23",-0.0421876181794303,-0.0348732860373102,-0.057643602580322,0.0176773082486309,-0.00509969621535955,0.0410909559705693,-0.00188354407814917,-0.00486815372691463,-0.0216767769243743,0.00610436848218177
"etort-24",-0.0406046889494319,-0.030608487741732,-0.0558450611906003,0.016039237821014,-0.00793600576290024,0.0352531420477481,-0.00360674322366222,-0.00262799837620821,-0.0187821250820609,0.00439255660402577
"etort-25",-0.0532501036888079,-0.0446288778725099,-0.0937039078616392,0.0311110634412185,-0.0055655139381744,0.0564122578526488,-0.00372012280377509,0.00579661345631614,-0.030325454874173,0.00493383192457367
"etort-26",-0.051746049733601,-0.026945199096718,0.0657104480512941,-0.0274289228449631,0.0151812705894011,0.00167756492807519,-0.000568458854563303,-0.0017721388765955,-0.00287830406895948,0.00165887964171824
"etort-27",-0.0631696026113694,-0.0513614108282253,-0.11451584305311,0.026465593466845,-0.0133530624801061,0.0722764345126867,-0.000340404376621001,-0.0011849863486556,-0.0395261231513348,0.0151826983434856
"etort-28",-0.0628362413465993,-0.0446036378989253,-0.101697853084279,0.0256306134479496,-0.00774388690020999,0.0656694792371512,-0.00279343304717677,-0.00114478325285022,-0.0321901583689162,0.0114043134078271
"etort-30",0.0149123928351965,-0.0112985689322899,0.0267584518173444,-0.0119285472222555,0.000494483517457498,0.00401647886497052,-0.00322719311631145,-0.00301364126845721,-0.00633553331449883,0.00515782835419663
"etort-31",0.129294688258024,0.114050827978973,-0.13953345725582,-0.33911167692325,0.249025203657011,0.0817185259265383,-0.119881295367355,0.160508698089827,-0.00848337290661846,-0.0697268085034689
"etort-32",-0.0186414598169532,-0.0220142483690856,0.0374236372701813,-0.0149305277368754,0.00494846384351849,0.00743550663848501,-0.00491955329652642,-0.00123647966467899,-0.0051888210612661,-0.000133542090292094
"etort-33",-0.0423500747015215,-0.0275216834679132,0.0577093369568078,-0.0197817789295452,0.0139228324986929,0.00686878462650869,-0.0041301567650467,-0.00286099587782557,-0.00320081397731578,-0.0015828696373783
"etort-34",-0.0483237354774804,-0.0274396877222676,0.0633875046945066,-0.022183342300809,0.0123239833080695,0.0029657305793931,-0.00274786127574969,-0.00285775368677079,-0.00521860591737041,-0.00107004495633544
"etort-35",-0.00172700849696158,-0.0176701072140375,0.0404338088949541,-0.0175593260706595,0.00537049160663222,0.00742921265605186,-0.0032813571816425,-0.00116297653209559,-0.00382153327832317,0.00489593048636228
"etort-36",0.055469354055324,0.00512080717679414,-0.0166795136479672,-0.0105324556246971,0.00104842548184524,0.00477198176830896,-0.0084514074257096,-0.00632912788091659,0.00102031684063754,0.00024915432804045
"etort-37",0.079017136286539,0.0196819198110121,-0.0237315659122747,-0.0273861802106566,0.012123556026022,0.00170181540740763,-0.0133644866302645,-0.00275340209499426,0.00297852790528208,-0.000494483437040262
"etort-38",0.0756025429294665,0.0294349440482183,-0.0314102449235664,-0.0632625054793124,0.0332312680178932,0.00774950465363661,-0.0170260878230577,0.0084425363351565,-0.000945742288311556,-0.00442069598127171
"etort-39",-0.0499748623225199,-0.0304464861994674,0.0665970228850657,-0.0242721302924702,0.0160963606792073,0.00229936933084976,-0.00185591883712372,-0.00615199476729818,-0.00918728118331484,-0.00163175334866482
"etort-40",-0.0514183083555475,-0.0313717980740858,0.0704084133191656,-0.0262297997865689,0.0153719572845657,0.00692187115122121,-0.00369400451098108,-0.00361784423910544,-0.00556741036188109,-0.00500108512883509
"etort-41",-0.0702819485791589,-0.0680498032423042,0.179170201914351,-0.0570426421990557,0.0568180881146662,0.0315355045593016,-0.00157399387840597,0.00374509909692175,-0.0371871948340038,0.0137029059030983
"etort-42",-0.0247669004272302,-0.0192648768099892,0.0385793143818437,-0.014519300227087,0.0072818545628232,0.00710722421935668,-0.00408761500426367,-0.00193873890775627,-0.00334468327491793,0.00191210462880704
"etort-43",-0.0494712754939776,-0.0322767761860721,0.0664437462610471,-0.0232265413732838,0.0132843678368658,0.00835936610930908,-0.00122054764812204,-0.00180622826326429,-0.00661354097757272,-0.00284071000396242
"etort-44",-0.0387823820239976,-0.0254625042770056,0.0495974728095673,-0.016100898284895,0.0116857025700221,0.00467715682456001,-0.00444819798855968,-0.00214388810120624,-0.00121647708377509,-0.000458160686059996
"etort-45",-0.0345063246188417,-0.0214054602201135,0.0432554308306167,-0.0155952499474563,0.00774297375162933,0.00328799205374802,-0.00415951896373909,-0.00242788043195266,-0.004562643536152,-0.00177919456979232
"etort-46",0.028406674449132,-0.00664878087938188,0.00314814157254619,0.015824024118262,-0.0114124181194949,-0.0033889101683526,-0.00617154862928184,-0.00795127235146609,0.00253659416096201,-0.00164444502481029
"etort-47",0.0278757569337227,-0.00821522995036656,0.00455064693775217,0.0157634036971208,-0.0129861558861685,-0.00209123924249642,-0.00513404995418848,-0.00961024996841495,0.00167153064897254,-0.00216810364400661
"etort-48",0.0250791371181184,-0.00770895999895885,0.00267601072912596,0.0152426981329887,-0.0093909140985108,-0.00104380911047263,-0.00618979940533519,-0.00863179446610658,0.00214704245224242,-0.00239270836486514
"etort-49",0.0283143802131894,-0.0126508425267235,-0.0114047737014322,0.0311977440274941,0.00162543114534282,0.0024266793419549,-0.00286465725457004,-0.00986933681952302,0.000985805474615021,-0.00316837257746319
"etort-50",0.00586033044336589,-0.0108422585774027,-0.00237417709302979,0.0144204919414331,0.000333497565651039,0.00321825939125445,-0.00433312664054065,-0.00499305084610557,-0.000882226201210419,-0.00128840533698297
"etort-51",0.0264681205005658,-0.0736976719052371,-0.0261734108601029,0.496477144940839,0.823868314649082,-0.204039338409878,0.0160661295538382,0.0533429103569118,-0.0539557009498573,0.0038894001384074
"etort-52",-0.0517756149214554,-0.0343119997833033,0.0681509107984147,-0.0238700785500643,0.0188757893681626,0.00819775327922743,-0.00160004363435152,0.000124581732099612,-0.00896829140254236,0.00607669266425968
"etort-53",0.0745449647829681,0.0267898523860438,-0.0275709403981977,-0.0545730135943698,0.0277961924992978,0.00645557380490291,-0.012232674299881,0.00459960531432746,-0.00346362881095529,0.000926339753093043
"etort-54",-0.0333420086030382,-0.0197897437632372,0.035831843920363,-0.0124095862183035,0.00902166981986934,0.00461701300189488,-0.00380852000513767,-0.00134284053431512,-0.00485542739935943,-0.000168019284389172
"etort-55",0.0333725420175706,-0.00961246892523088,0.00447394130590983,0.0319339432114941,-0.0130498116493602,-0.00620934741307754,-0.00613579605980495,-0.00741597842664078,0.00498697100803644,-0.00374844460932704
"etort-56 (sheared2)",0.0337416018090999,-0.00452117351645069,-0.00860189338680209,0.0121419671073419,-0.00642523199230441,0.00187888049405408,-0.00532225049989026,-0.00833849956742079,0.000670301338811377,-0.00239031671777671
"etort-57",-0.0489779628614582,0.0465969369867204,-0.0135857209183429,-0.0106656507017841,-0.0109723891456049,-0.0550628040941382,0.00188089979061,-0.00360176086931955,0.00588618188379468,-0.0286889204004991
"etort-58",0.0876898888949716,0.0407439829945798,-0.042798733116034,-0.0872172131138927,0.0454443690609216,0.0163958090921051,-0.0234718063272598,0.016394690151559,-0.00258644199846441,-0.00409809730527663
"etort-59",0.0226363263923985,-0.00891258259322156,0.0263704146236965,-0.0152780902015324,0.00112470308587264,0.00701839683427456,0.00537318958649445,0.000701462273541316,-0.00585179780336738,0.0120840095986332
"etort-60 (sheared2)",-0.0486842603246371,-0.0130983948358097,-0.0466050509965199,0.00559528987581265,-0.00905952308117145,0.0141501391830128,0.000617630634135524,0.00356419648440144,-0.00368494087653401,0.00160097478944997
"etort-61",-0.10244867075299,0.140498623173214,-0.0656960370421126,-0.035474322931606,-0.0198997777898976,-0.349512568879575,0.0485480807116916,0.0342485514001442,0.0558863127809409,-0.448440721025763
"etort-62",0.0670333595593014,0.012952826788754,0.00435613205714283,-0.037748778716503,0.0152969792214342,0.0108158684429698,0.00098253785817319,-0.00320691919369446,-0.00594811745213851,0.0146058079745853
"etort-63",-0.0790477714959386,0.0172643583939325,-0.0631765227483604,-0.0132420785367006,-0.0123006693504056,-0.0412581961664535,0.0129968653584979,0.00482423015742904,0.0010928151706576,-0.0114668533359664
"etort-64",-0.0735876549992297,-0.00105170063696753,-0.0713499609422204,-0.00222540569014038,-0.0128358456265886,-0.0109116024057058,0.00928632172124676,0.00476053369609993,0.00370524718897148,0.000126966914871087
"etort-65",-0.06784238834413,0.0306373932071192,-0.047981755757353,-0.00953677383327255,-0.0107809687370109,-0.0492139891605162,0.00580082656883334,0.00558972590239885,0.00468425048264905,-0.00574111611219899
"etort-66",-0.0595767396410412,-0.0212287250635545,-0.0728601287134744,0.0113713874305912,-0.0102235697087334,0.0291384282913107,0.00234744363105865,0.00261010134702568,-0.0134032466584269,0.0119132648605053
"etort-67",-0.0983761699106745,0.00440112479226639,-0.141182395780035,0.00600445092050312,-0.0125522128746304,-0.0076161907025214,0.0265288320526532,0.0298244712784794,-0.00539122628365137,0.0209001980251582
"etort-68",-0.0541199175862593,-0.00184454555248994,-0.0417197454472024,0.00222693966777102,-0.0054443523295738,-0.00544839887669007,0.00324057827790941,0.00410921533821447,0.000784360647729781,-0.00169394775633773
"etort-69",-0.0561867956217321,-0.0179676966153501,-0.0501426913308267,0.00372074183025185,-0.00845856422373744,0.0160165896433152,0.000467068107016562,-0.000738146009530714,-0.00219579090705738,-0.00189960283561857
