"etort","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"etort-150",0.0564428858103628,-0.00560583358929693,-0.0212462257083049,0.0654672773955575,-0.0481199003171337,-0.0511981722479692,0.0162785782434673,0.0379865450443352,0.0395680634794121,-0.0541859119774629
"etort-151",0.0570996277810614,-0.00993792868950602,-0.0195517050096209,0.0655552186687213,-0.0288654369869619,-0.0530677599097077,0.0291078194280467,0.0232242576247996,0.0578165894626691,-0.0400887344840151
"etort-152",0.0525946590137525,-0.0147398120102592,-0.0283875225963327,0.0737451741383131,-0.0320544439665208,-0.0530015612977296,0.0208960490231984,0.0723223664827613,0.0106995597524485,-0.0573352640208753
"etort-153",0.0541754373955273,-0.0106421722561591,-0.0233516205944482,0.0615748779912659,-0.0391880784251026,-0.0491214267518755,0.00675528068336036,0.0262285391297189,0.0279878854933806,-0.0288378554136716
"etort-154",0.0420339088768856,-0.02855153771394,-0.024232539360035,0.0414617287496346,-0.0657003327309185,-0.0453130688560918,0.0129513828417236,0.0141754468270267,-0.018052979067873,-0.0751914192270354
"etort-155",0.0579671852725171,-0.0108576021440397,-0.0169087636336114,0.0543756050036637,-0.0513280142004848,-0.0493467459839549,0.0317043289021398,0.0091521584131084,0.0585054584775328,-0.0373206265034644
"etort-156",0.0300639566387422,-0.00552081827435191,-0.00626960740471415,0.0230240292921444,-0.0146081886707679,-0.0178959485224941,0.0133458874491906,-0.00393657520634286,0.026553237486915,-0.00914714443624889
"etort-157",0.0479969737738504,-0.000198278435670793,-0.0207837279664887,0.0480062850546533,-0.0103687598034498,-0.0213097097064435,0.00769019395939202,0.0367251644610719,-0.0231415274113804,-0.0505367590230182
"etort-158",0.0437712178757559,-0.00364992048851405,-0.0159858697489981,0.0580519781757582,-0.0256566913129917,-0.0504951566088395,0.0175815897844989,0.0492469090556056,0.00369227351834765,-0.08489821052271
"etort-159",0.0469843239618176,-0.00550136075505534,-0.0192559736673249,0.0569860763867181,-0.0343911931525956,-0.0432339032465478,0.0219305261182948,0.0424276092097824,-0.00739447340952953,-0.0688429204235352
"etort-161",0.0513889369197818,-0.0184965722327858,-0.0298162666809112,0.0629372215517011,-0.038237721044982,-0.0554307253742619,0.0519324304197207,0.0188255263663077,0.0366473326147521,-0.0709886599150359
"etort-162",0.062675056336809,-0.00383446186633928,-0.0237229928001932,0.0775508254885024,-0.0284889108609986,-0.044970303140633,0.042486241751873,0.023746330097118,0.0474802826621345,-0.059259258170736
"etort-163",0.0591701991942179,-0.00435207659301337,-0.0238128232215608,0.0598723980733662,-0.0215082478617549,-0.038746593212273,0.0369565469764849,0.043006103697383,0.0403355358563319,-0.0434835896025957
"etort-164",0.0637706045068918,-0.0106098252826776,-0.0215218544828355,0.0771994110057695,-0.0373168462065848,-0.0476687590922884,0.0339569898725035,0.0375210827036856,0.0275889332908217,-0.0485514175480689
"etort-166",0.0593834099700772,-0.00500804935157854,-0.0207623911984429,0.0592248459177345,-0.0435163891694807,-0.0366413459194591,0.0151157145181954,0.0432037587614058,0.0295687630669531,-0.0305862008630946
"etort-167",0.0614187814941679,-0.0114489907223073,-0.0208655434100738,0.0619793072421059,-0.0445737168644084,-0.0431351541714014,0.0252730733513127,0.0339210054607674,0.0545830109624701,-0.0378182386575523
"etort-168",0.0607778233261055,-0.00345895474569774,-0.0211322486670284,0.0644559416024566,0.078538793482744,0.00351024849136556,0.0683106796463229,-0.012811378208395,0.0300614030434004,0.0414016708086514
"etort-169",0.0569928629391232,-0.00312324393982625,-0.030129707365905,0.063602636237963,0.0552753737244326,0.0204318044198235,0.0397257402156582,-0.000620888432390663,-0.0204684256105002,0.0213059776547143
"etort-170",0.0642846213937284,-0.00038609550888421,-0.0126904594552179,0.0495788146634499,0.0315179716895034,-0.00655603509757378,0.0443941659001532,-0.0650306017335536,0.0498822104794512,0.0245616600085493
"etort-172",0.067088620836764,0.000317233978897007,-0.020322046539736,0.0617103600055155,0.0177735100806847,-0.015299116390507,0.0384932916275917,-0.0298315379906585,0.0791877753122715,0.00539095749498752
"etort-173",0.0603939778176036,-0.0122981048012767,-0.028403305814818,0.0855272950391316,0.0394257785915862,-0.0040805398365094,0.0553998022142394,-0.012132202236412,-0.00241342011147104,0.0479407405404172
"etort-174",0.0543651483213698,0.000491413772401452,-0.0253089760546157,0.0590979333719892,0.0566426181892544,0.0298342134899755,0.0470390478587336,-0.00486309457958167,0.00641156452394908,0.0245204764143857
"etort-175",0.0613234894235658,-0.00661610742268036,-0.0160033539184135,0.0559478949998867,0.0399335428573269,-0.0158616065469035,0.0496152431046018,-0.0713513579532089,0.0520460293786011,0.0291711402774224
"etort-176",0.0528261440447702,-0.0150127152840202,-0.0248332602825729,0.0560712755976967,-0.0134809370610523,-0.0316620490561569,0.0454392380936343,-0.0175025353270067,0.0435778206361613,-0.0291393699748919
"etort-177",0.0614446935034412,-0.0124975481965248,-0.0229429798234528,0.0575883100578252,0.0171415025431694,-0.0144024428203468,0.052163871309104,-0.0449063412397429,0.0392863169951687,0.00906526834332383
"etort-178",0.0675835391434805,-0.00709880922308961,-0.0227919777604238,0.0676535965605565,0.0561088099839518,0.00477121571005412,0.0463937598237257,-0.0438264726143668,0.065905201203566,0.0376072805927306
"etort-179",0.065109981684241,-0.00542278887058487,-0.0216625906836535,0.0705101187038161,0.0427082084506737,-0.0148495693655336,0.0672507082166735,-0.0655876972056064,0.0863655375632171,0.114452657118768
"etort-180",0.06005047065444,-0.00696732539729157,-0.0298535557178819,0.0745756591118232,0.036372086943102,0.00866178751418087,0.0499150215726561,-6.23986488016845e-05,-0.00937726493435937,0.0303839508917974
"etort-181",0.0643512760415837,-0.00932810330769843,-0.0165521975995908,0.0581175657691164,0.0248611360383347,-0.00975191490111208,0.0507032459935214,-0.0468131531446006,0.047631406941967,0.0712106325217247
"etort-182",0.0664284947949797,-0.00424536077150106,-0.0140746088846762,0.0619651545326416,-0.0120277787135081,-0.0277671975382935,0.0268942129546531,-0.0454547612909021,0.0962547819850881,0.00825278397001865
"etort-183",0.0548124734689685,-0.0139821054410566,-0.0211942217645662,0.0615457795218564,0.0167638190476178,-0.0170938283164923,0.0524129616145462,-0.0381803827458286,0.0605564911811337,0.000566068668316316
