"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"etort-37",0.0959668204111072,0.0353674786455042,0.023742799455415,-0.199860231848039,-0.000174586655284211,-0.0789551273399719,0.0115971377252937,-0.038320115150112
"etort-38",0.0949617442310421,0.0334186342647787,0.0492411388442898,-0.273585702238863,0.0551630134021907,0.0608014430013211,0.0144459100145543,-0.0332821588368668
"etort-39",-0.0810121898475132,-0.163262086125823,0.00428329898145404,-0.0183634573083381,-0.0151381933556676,0.0144678496385843,-0.0178192769900165,-0.0550128181984643
"etort-40",-0.083361640715336,-0.154727025113365,-0.0318389399491396,-0.0190329842476844,-0.0396237737981308,-0.0276365835170776,-0.0122183152553382,0.0316321776816668
"etort-41",-0.0745029734551904,-0.151214893451039,-0.0165664119145713,-0.00888036842165845,-0.00569562947542558,0.0181368248246898,0.0147975484249375,0.03298057446263
"etort-42",-0.0574640963716501,-0.138518442023511,-0.0108732935151945,-0.0408531319354062,0.0111688460974911,0.0846333077528146,0.00115536084762719,-0.00778437584719237
"etort-43",-0.068895031927581,-0.153686699497293,-0.0154493997062088,-0.0153603698491931,-0.0239715319408064,-0.0217194925249494,-0.00844057762933866,0.0476705363012104
"etort-44",-0.0709937790250716,-0.139353120873004,-0.024242649362816,-0.0230640929889527,-0.00913444804228777,-0.0074272141467065,-0.0484066250745209,0.0220025109434463
"etort-45",-0.0715095018692831,-0.147695814289911,-0.0168114708396902,-0.0137096981399462,-0.0300879008280636,-0.0145276272872888,-0.0628350919595011,0.0292268336078473
"etort-46",0.0549317676140724,-0.0141649451263984,-0.0150884677902717,0.0472981437541544,-0.0164205410071283,0.00962744953256229,-0.0339755745363484,-0.0180075232905016
"etort-47",0.0589961720759476,-0.00220252121530296,-0.0241975453519993,0.0615667674858683,0.00290927014196137,-0.0179927316400231,-0.0163023895458284,-0.00573518139799641
"etort-48",0.0529557212517097,0.00116836824919214,-0.0207127904861171,0.0843800178582909,-0.0206666866474323,-0.0513848724834783,-0.0246622444391386,0.0522196302683913
"etort-49",0.0352399680302988,0.0233367321371166,-0.0417527197686351,0.00429887300709081,-0.0575737412252069,-0.1870673407681,0.0200875556822933,0.0113862228236739
"etort-50",0.00529982547570211,-0.0101610584311705,-0.0336284715194756,0.0412275031520526,-0.0429087494607397,-0.221580214453167,-0.0552216564951322,0.0634004500378742
"etort-51",0.0189603418677523,-0.0108284335012946,-0.0392257848193936,0.0204608430440949,-0.0269063727748519,-0.146976392905232,0.00573720719643308,0.0339615918307901
"etort-52",-0.0725998875586296,-0.138438879483127,-0.0342686240069241,-0.0250449526927637,-0.0437229733652782,0.0276585042365154,-0.0137159242864861,0.0611123374950277
"etort-53",0.0933841155488729,0.0318902239215025,0.0442212942276839,-0.211357071773992,0.0249189203590433,0.0754070441607377,-0.0214060424960006,-0.00203605619445401
"etort-54",-0.0701792296508035,-0.134893860107689,-0.010360525571082,-0.00973664632379743,-0.010406247987145,-0.037685105718311,-0.033941516918694,0.0635219256906376
"etort-55",0.0570732434472316,-0.00689935264394693,-0.0145446881714182,0.102821790663925,0.0081076380975252,-0.0103726647609683,0.0257636519567944,-0.00207557594614774
"etort-56",0.0583861301079354,0.0345121883779515,-0.0185863522466886,-0.042674788461858,-0.071052815611249,-0.179896481224159,-0.033285711132708,-0.044469549559285
"etort-57",-0.0821861364692763,0.0571544986082181,0.147321508808106,0.0108428097481559,-0.00822089237895672,0.00324345002979901,0.00956165604603754,0.0110831958055766
"etort-58",0.0977776814270466,0.026341971189191,0.046693132285766,-0.252491775813779,0.0265133619371745,0.0167019094940895,0.00312739896368281,-0.0292634962981709
"etort-59",0.0262771443328319,-0.0442233047736774,0.00212724569496637,-0.0947293423051586,0.0138410923724258,0.063798886747724,-0.00885731655342169,0.134105293381899
"etort-60",-0.0871914498276596,0.0909376331699667,-0.0706453274509251,-0.000720974594494916,0.107153429730157,-0.00976659783786904,-0.0168644130490392,0.055936270752519
"etort-61",-0.0929854067485366,0.056296639557918,0.117066878145131,0.0111380275355269,-0.0025361151750535,-0.017461714391815,-0.0138377127149977,-0.0208479464457617
"etort-62",0.0614761753071184,-0.0166155047304724,0.0233036276591997,-0.14279933181802,0.0161393778789832,0.0414753210016438,-0.0265576722498022,0.011515779905975
"etort-63",-0.0955330792241098,0.0744115141731549,0.0245009440863134,0.0199877921256022,0.147030995239557,-0.0327916388879466,-0.00312710842599791,-0.0140092671118818
"etort-64",-0.0884774458234084,0.0986181456249061,-0.0327192932962015,0.00156891090271844,0.134310514154168,-0.0141233064685012,0.00108778228075404,-0.0201114640181609
"etort-65",-0.0909654114693368,0.0810281371089875,0.0561976816749892,0.0148009384571338,0.133826869047759,-0.0329555877547621,-0.0358466751039887,-0.0122721825691917
"etort-66",-0.0815037568205804,0.0900990051905134,-0.0953424010034706,0.000337976407545018,0.0260118503515194,0.0197249641198263,-0.0324126126304555,-0.0249703331290399
"etort-67",-0.0932367596642675,0.0775690132959352,-0.0175930394980396,0.0133602934074457,0.116970086814967,-0.0101089395417109,0.00849240922988952,0.0157866385564421
"etort-68",-0.0811669378144004,0.0688091465406213,-0.0222568151954667,0.000818991457141118,0.151813534512851,-0.0109844208283407,-0.00640827529630295,0.0415955075435511
"etort-69",-0.0886200996705039,0.082571272908461,-0.0607788660779164,-0.00853045634273092,0.102521207730161,0.0153360186719049,0.00600190094987219,0.0212464498286313
"etort-70",-0.0378393594462996,0.0539384242257984,-0.0942134879093607,0.0183489210288161,-0.0406611717066317,-0.0862282988794786,0.00141638405306372,0.0368110821076016
"etort-71",-0.0845440142189315,0.0582845680922475,0.152199331285389,0.0257506127712668,-0.0454693106972435,0.000467645542971481,-0.0310534909667071,-0.0377067675026861
"etort-72",-0.0834895832241386,0.0572468468974321,0.162588581623998,0.0138663491232166,-0.0729320845685244,0.0167607141082743,-0.0343433109073724,-0.0272021647130279
"etort-73",-0.0880791931178462,0.050225163337706,0.0345455968854004,-0.00337106783388633,0.189438344060735,-0.0909255597282307,0.0311682347592095,-0.0500233885408068
"etort-74",-0.0901093779746319,0.0725178470101861,-0.0556046883717019,0.00616539036936533,0.0727189502911934,0.0312039939054387,-0.0164653951900389,0.00696819077789067
"etort-75",0.0309183466055237,0.00268519588788087,-0.0434940418641947,0.0101993666997199,-0.0446366227128463,-0.210142842668415,-0.0293690855109897,0.0749037657647747
"etort-76",0.0191802852825492,0.0152819568803827,-0.0459247560612562,0.0290926612717298,-0.0616968866446844,-0.180681920702086,-0.021347441504197,0.0281988985472526
"etort-77",-0.075496394962371,-0.109370514901975,-0.0242753559277799,-0.000475503977483813,-0.00796079944584367,0.0134973343979472,-0.000805584152551411,0.0615070998341131
"etort-78",0.0919075336445892,0.0334560513757242,0.0402747672021403,-0.211530150395866,0.00186199120400384,-0.0573750386801357,-0.00181514919627379,-0.0351211965385956
"etort-79",0.0707935796942969,0.0325041137401885,-0.00351709436408727,-0.101937120997064,-0.0310602289760493,-0.160591067981215,-0.0251669011243455,-0.0711416391651558
"etort-80",0.074473786495063,0.0196574605425573,-0.00970173308721764,-0.0990633946508533,-0.0546500190940954,-0.180584979661874,0.0165925670711211,-0.0232018710952922
"etort-81",0.0590580420684975,-0.0109710085617319,-0.00754653651358869,0.10502568630159,-0.018812434552481,0.00592292257036394,0.0602403274909912,0.00620187354026468
"etort-82",0.0695514948396872,-0.00595184821732718,0.00118020189258424,0.0562924742633502,0.0160203290892673,0.0166684592276575,-0.00490657592061435,-0.0114915665849724
"etort-83",0.0629121702116127,-0.00387915100195256,-0.0083637372745925,0.072286101011744,0.0163373664255966,-0.0152181510283567,0.00902825791356607,0.0239855814134252
