"etort1","etort2","divergence"
"etort-9","etort-23",0.203033
"etort-10","etort-23",0.189918
"etort-11","etort-23",0.189335
"etort-12","etort-23",0.211813
"etort-13","etort-23",0.20156
"etort-14","etort-23",0.204448
"etort-15","etort-23",0.220093
"etort-16","etort-23",0.205235
"etort-17","etort-23",0.220417
"etort-18","etort-23",0.196926
"etort-19","etort-23",0.200042
"etort-20","etort-23",0.20176
"etort-21","etort-23",0.189929
"etort-22","etort-23",0.189563
"etort-23","etort-23",0.128477
"etort-1","etort-24",0.201406
"etort-2","etort-24",0.201043
"etort-3","etort-24",0.196493
"etort-4","etort-24",0.197326
"etort-5","etort-24",0.201099
"etort-6","etort-24",0.20715
"etort-7","etort-24",0.209455
"etort-8","etort-24",0.204908
"etort-9","etort-24",0.197546
"etort-10","etort-24",0.188641
"etort-11","etort-24",0.185539
"etort-12","etort-24",0.207239
"etort-13","etort-24",0.197416
"etort-14","etort-24",0.200744
"etort-15","etort-24",0.217403
"etort-16","etort-24",0.201805
"etort-17","etort-24",0.219156
"etort-18","etort-24",0.189934
"etort-19","etort-24",0.198716
"etort-20","etort-24",0.197766
"etort-21","etort-24",0.189145
"etort-22","etort-24",0.189504
"etort-23","etort-24",0.18695
"etort-24","etort-24",0.1214
"etort-1","etort-25",0.207605
"etort-2","etort-25",0.204667
"etort-3","etort-25",0.199003
"etort-4","etort-25",0.201197
"etort-5","etort-25",0.202418
"etort-6","etort-25",0.210193
"etort-7","etort-25",0.212931
"etort-8","etort-25",0.208302
"etort-9","etort-25",0.202493
"etort-10","etort-25",0.189613
"etort-11","etort-25",0.190221
"etort-12","etort-25",0.212638
"etort-13","etort-25",0.201993
"etort-14","etort-25",0.205577
"etort-15","etort-25",0.221801
"etort-16","etort-25",0.205455
"etort-17","etort-25",0.222542
"etort-18","etort-25",0.19342
"etort-19","etort-25",0.202029
"etort-20","etort-25",0.201801
"etort-21","etort-25",0.191749
"etort-22","etort-25",0.192645
"etort-23","etort-25",0.189617
"etort-24","etort-25",0.186413
"etort-25","etort-25",0.121812
"etort-1","etort-26",0.21113
"etort-2","etort-26",0.200839
"etort-3","etort-26",0.200139
"etort-4","etort-26",0.198692
"etort-5","etort-26",0.196949
"etort-6","etort-26",0.20126
"etort-7","etort-26",0.204122
"etort-8","etort-26",0.199352
"etort-9","etort-26",0.192168
"etort-10","etort-26",0.202923
"etort-11","etort-26",0.202689
"etort-12","etort-26",0.211824
"etort-13","etort-26",0.199247
"etort-14","etort-26",0.203891
"etort-15","etort-26",0.219396
"etort-16","etort-26",0.203196
"etort-17","etort-26",0.22181
"etort-18","etort-26",0.198654
"etort-19","etort-26",0.200504
"etort-20","etort-26",0.201526
"etort-21","etort-26",0.199623
"etort-22","etort-26",0.201718
"etort-23","etort-26",0.203807
"etort-24","etort-26",0.202407
"etort-25","etort-26",0.204909
"etort-26","etort-26",0.12552
"etort-1","etort-27",0.203964
"etort-2","etort-27",0.201125
"etort-3","etort-27",0.196559
"etort-4","etort-27",0.199313
"etort-5","etort-27",0.203103
"etort-6","etort-27",0.210322
"etort-7","etort-27",0.213152
"etort-8","etort-27",0.207904
"etort-9","etort-27",0.203571
"etort-10","etort-27",0.186122
"etort-11","etort-27",0.18869
"etort-12","etort-27",0.212637
"etort-13","etort-27",0.200044
"etort-14","etort-27",0.202213
"etort-15","etort-27",0.222579
"etort-16","etort-27",0.20492
"etort-17","etort-27",0.223336
"etort-18","etort-27",0.191408
"etort-19","etort-27",0.198001
"etort-20","etort-27",0.199471
"etort-21","etort-27",0.18618
"etort-22","etort-27",0.187124
"etort-23","etort-27",0.194055
"etort-24","etort-27",0.191354
"etort-25","etort-27",0.190963
"etort-26","etort-27",0.20543
"etort-27","etort-27",0.125912
"etort-1","etort-28",0.204972
"etort-2","etort-28",0.203959
"etort-3","etort-28",0.198053
"etort-4","etort-28",0.201507
"etort-5","etort-28",0.202701
"etort-6","etort-28",0.210398
"etort-7","etort-28",0.214041
"etort-8","etort-28",0.207188
"etort-9","etort-28",0.203021
"etort-10","etort-28",0.18962
"etort-11","etort-28",0.188915
"etort-12","etort-28",0.212267
"etort-13","etort-28",0.2003
"etort-14","etort-28",0.204698
"etort-15","etort-28",0.222124
