EM_Tort_ID,UTM_Zone,Easting,Northing,Berkeley Sample #
etort-212,11N,455211,3877899,HSEM023E
etort-213,11N,547307,3846467,HSEM023F
etort-214,11N,475269,3859348,HSEM023G
etort-215,11N,542364,3885233,HSEM023H
etort-216,11N,530203,3885015,HSEM023I
etort-217,11N,506567,3867329,HSEM023J
etort-218,11N,479530,3873905,HSEM024A
etort-219,11N,499239,3869960,HSEM024B
etort-220,11N,514060,3829514,HSEM024C
etort-221,11N,637484,3715125,HSEM024D
etort-222,11N,652523,3704963,HSEM024E
etort-223,11N,641706,3706128,HSEM024F
etort-224,11N,630651,3709111,HSEM024G
etort-225,11N,696575,3672662,HSEM024H
etort-226,11N,699471,3707156,HSEM024I
etort-227,11N,688625,3699527,HSEM024J
etort-228,11N,655337,3768425,HSEM025A
etort-229,11N,439908,3908803,HSEM025B
etort-230,11N,681589,3815898,HSEM025C
etort-231,11N,711975,3923493,HSEM025D
etort-232,11N,686586,3940970,HSEM025E
etort-233,11N,662936,3963420,HSEM025F
etort-234,11N,681729,3946968,HSEM025G
etort-235,11N,680535,4020850,HSEM025H
etort-236,11N,649418,4017215,HSEM025I
etort-237,11N,682054,4053242,HSEM025J
etort-238,11N,727055,4072148,HSEM026A
etort-239,11N,692216,4105232,HSEM026B
etort-240,11N,679713,4099531,HSEM026C
etort-241,11N,685413,4081467,HSEM026D
etort-242,11N,713665,4082852,HSEM026E
etort-243,11N,748590,4098530,HSEM026F
etort-244,11N,645553,3773440,HSEM026G
etort-245,11N,517838,3829417,HSEM026H
etort-247,11N,696738,3845801,HSEM026I
etort-248,11N,702602,3818067,HSEM026J
etort-249,11N,686898,3918931,HSEM027A
etort-250,11N,682062,3952901,HSEM027B
etort-251,11N,654477,3984406,HSEM027C
etort-252,11N,657689,3968268,HSEM027D
etort-253,11N,713118,3825924,HSEM027E
etort-254,11N,512816,3826569,HSEM027F
etort-255,11N,545550,3886973,HSEM027G
etort-256,11N,710596,3821051,HSEM027H
etort-257,11N,438728,3850869,HSEM027I
etort-258,11N,684019,3957078,HSEM027J
etort-259,11N,650703,3861936,HSEM028A
etort-260,11N,650703,3861936,HSEM028B
etort-261,11N,721323,3796606,HSEM028C
etort-262,11N,663849,3693150,HSEM028D
etort-263,11N,637835,3708632,HSEM028E
etort-264,11N,646394,3706917,HSEM028F
etort-265,11N,688648,3911407,HSEM028G
etort-266,11N,695742,3972621,HSEM028H
etort-267,11N,701279,3893654,HSEM028I
etort-268,11N,677638,3950885,HSEM028J
etort-269,11N,611035,3983346,HSEM029A
etort-270,11N,691835,3906294,HSEM029B
etort-271,11N,692822,3942652,HSEM029C
etort-272,11N,678181,3958550,HSEM029D
etort-273,11N,715336,3827528,HSEM029E
etort-274,11N,621937,3881078,HSEM029F
etort-275,11N,650083,3708020,HSEM029G
etort-276,11N,519257,3827098,HSEM029H
etort-277,11N,512796,3851148,HSEM029I
etort-278,11N,720396,3817182,HSEM029J
etort-282,11N,682036,4044895,HSEM030D
etort-283,11N,685923,4095990,HSEM030E
etort-284,11N,510832,3853193,HSEM030F
etort-285,11N,599774,4044665,HSEM030G
etort-286,11N,653248,3968474,HSEM030H
etort-287,11N,709960,3816265,HSEM030I
etort-288,11N,687999,4070144,HSEM030J
etort-289,11N,702623,4070713,HSEM030A
etort-296,NAD83_11N,655843,3930227,HSEM030B
etort-297,NAD83_11N,642192,3934034,HSEM030C
