EM_Tort_ID,Sample_name (collector tort ID),Date_collected,Sex,UTM_Zone,Easting,Northing,MCL_MM,Initial_Weight,Location_ID,Tissue Box,Shearing cycles,Cleaned,Sheared DNA concentration (post cleanup if applicable),uL to get 450ng,Actual ng going into lib prep,beads to add,Adapter,Lib prepped?,Lib plate well,Final lib concentration (ng/uL),Yield,Final library concentration (nM),Sent to Berk?,Lane Number,Berkeley Sample #
etort-60 (sheared2),201170,05/18/11,,11N,517450,3822832,,,Ord Rodman,2011-box3,7,1.1,11.64913519,38.629477,450,115.888431,BFIDT-010,12-Jul-14,G2,3.62292686,26.57%,5.14,16-Jul-14,HSEM009,HSEM009e
etort-61,2011110,06/09/11,,11N,611327,3728268,,,Joshua Tree,2011-box3,7,1.1,11.42322626,39.39342439,450,118.1802732,BFIDT-011,12-Jul-14,H2,5.472707632,40.13%,,16-Jul-14,HSEM009,HSEM009f
etort-62,2011102,06/03/11,,11N,688708,3990639,,,River Mtn Valley,2011-box3,7,1.1,18.02,24.97225305,450,74.91675916,BFIDT-001,14-Jul-14,E1,8.215315148,60.25%,,16-Jul-14,HSEM010,HSEM010a
etort-63,2011106,06/07/11,,11N,622473,3772593,,,Joshua Tree,2011-box3,7,1.1,17.8,25.28089888,450,75.84269663,BFIDT-004,14-Jul-14,F1,7.67347065,56.27%,,16-Jul-14,HSEM010,HSEM010b
etort-64,2011108,06/09/11,,11N,588588,3770619,,,Joshua Tree,2011-box3,7,1.1,14.52,30.99173554,450,92.97520661,BFIDT-006,14-Jul-14,G1,6.639883714,48.69%,,16-Jul-14,HSEM010,HSEM010c
etort-65,2011111,06/09/11,,11N,616731,3745320,,,Joshua Tree,2011-box3,7,1.1,14.78,30.44654939,450,91.33964817,BFIDT-009,14-Jul-14,H1,3.61520381,26.51%,5.71,16-Jul-14,HSEM010,HSEM010d
etort-66,2011115,06/10/11,,11N,568549,3771433,,,Joshua Tree,2011-box3,7,1.1,15.92,28.26633166,450,84.79899497,BFIDT-010,14-Jul-14,A3,9.387455929,68.84%,,16-Jul-14,HSEM010,HSEM010e
etort-67,2011117,06/10/11,,11N,576294,3765365,,,Joshua Tree,2011-box3,7,1.1,12.83,35.07404521,450,105.2221356,BFIDT-011,14-Jul-14,B3,6.026288118,44.19%,,16-Jul-14,HSEM010,HSEM010f
etort-68,2011118,06/10/11,,11N,578233,3774595,,,"Pinto Mtns, Joshua Tree",2011-box3,7,1.1,10.71,26.4,282.744,79.2,BFIDT-012,14-Jul-14,C3,3.750664935,43.78%,,16-Jul-14,HSEM010,HSEM010g
etort-69,2011119,06/13/11,,11N,549328,3841707,,,Ord Rodman,2011-box3,7,1.1,13.46,33.43239227,450,100.2971768,BFIDT-014,14-Jul-14,D3,4.846106266,35.54%,,16-Jul-14,HSEM010,HSEM010h
etort-70,2012006,04/19/12,,11N,625219,3884376,,,Kelso Wash,2012box,7,1.1,12.47,36.08660786,450,108.2598236,BFIDT-015,14-Jul-14,E3,4.933320962,36.18%,,16-Jul-14,HSEM010,HSEM010i
etort-71,2012007,04/23/12,,11N,635288,3726470,,,Chuckwalla Valley,2012box,7,No,18.025,24.966,450.000,74.897,BFIDT-007,11-Jun-14,A1,4.005601794,29.37%,4.36,19-Jun-14,HSEM002,HSEM002A
etort-72,2012013,04/26/12,,11N,621359,3706106,,,Chuckwalla Bench,2012box,7,No,4.102,53.000,217.423,159.000,BFIDT-008,11-Jun-14,B1,1.553072514,23.57%,0.95,30-Jul-14,HSEM019,HSEM019b
