"geolayers/TIFF/masked/crop_masked_avg_rough_30" "agp_250" "alley_30" "annual_precip" "aspect_30" "barren_30" "bdrock_ss2_st" "bd_ss2_30" "bd_ss2_st_30" "bedrock_ss2" "bike_pat_30" "dem_30" "eastness_30" "grass_herb_30" "imperv_30" "lat_gcs_30" "local_ro_30" "lon_gcs_30" "m2_01_precip" "m2_01tmin" "m2_02_precip" "m2_02tmax" "m2_02tmean" "m2_02tmin" "m2_03_precip" "m2_03tmax" "m2_03tmean" "m2_03tmin" "m2_04_precip" "m2_04tmax" "m2_04tmean" "m2_04tmin" "m2_05_precip" "m2_05tmax" "m2_05tmean" "m2_05tmin" "m2_06_precip" "m2_06tmax" "m2_06tmean" "m2_06tmin" "m2_07_precip" "m2_07tmax" "m2_07tmean" "m2_07tmin" "m2_08_precip" "m2_08tmax" "m2_08tmean" "m2_08tmin" "m2_09_precip" "m2_09tmax" "m2_09tmean" "m2_09tmin" "m2_10_precip" "m2_10tmax" "m2_10tmean" "m2_10tmin" "m2_11_precip" "m2_11tmax" "m2_11tmean" "m2_11tmin" "m2_12_precip" "m2_12tmax" "m2_12tmean" "m2_12tmin" "m2_ann_precip" "m2_anntmax" "m2_anntmean" "m2_anntmin" "nlcd_30" "northness_30" "parking_30" "pedestri_30" "primary_30" "private_30" "pr_ss2" "pr_ss2_st" "ramps_30" "road_30" "secondar_30" "service_30" "shrub_30" "slope_30" "summer_precip" "surfarea_30" "tree_30" "tree_err_30" "vehicula_30" "win_precip"
"etort-12" 1.00008022785187 103.504411175172 0 319.717679348781 330.48625775526 0 201 NA 1.61000001430511 201 0 1008.70694605689 -0.491139885009161 0 0 35.5305294578635 0 -115.756073088109 19.6525085662591 -0.492014915059589 28.4582233806489 15.0700989076928 8.24836951655473 1.42663973933551 19.9076336872149 18.8265012656055 11.6441266368786 4.45466005306968 8.99523858010423 23.0097582397838 15.4818182841329 7.94452358827778 5.03789653795823 28.6142830772216 21.0756744707746 13.5286377398671 1.8776461338498 34.0020652703073 26.1250294852112 18.2457759489564 15.0237801124932 37.186850188949 29.5272466002697 21.8660706134863 18.0973595127584 36.2891126648048 28.7182409561223 21.1451511963154 11.4581918393155 32.3120203153787 24.2427667996623 16.1679935217785 9.91554244312373 25.2897574420249 17.6237064702941 9.95056403225148 12.076129153636 17.7267034847823 10.4421798731425 3.15701173132266 16.580473137887 12.4630061062368 5.82370708325081 -0.81785533796172 167.080622236357 24.4927111260631 17.1086270257319 9.71611640278812 52 0.867888483585768 0 0 0 0 NA 0 0 615.189966516458 0 0 1 0.656351579661108 NA 776.503593443951 0 0 0 169.850441944782
"etort-13" 1.00105917453766 104.626855266805 0 177.238003805925 36.5866888598974 0 4 1.63999998569489 1.63999998569489 4 0 762.274956819417 0.595919828095435 0 0 33.8197328829874 0 -115.721620320504 18.6895661424408 2.66359952836269 19.1105962316021 17.8358034028899 10.7573793336102 3.67816256652415 14.2023364870549 21.1950658130135 13.4889205690504 5.77284453908636 3.6726133240771 25.2437361782102 16.9520221458924 8.65958411186144 1.39200796569907 30.2657192138516 21.6972902019541 13.1204613606799 0.199192283702089 35.0273034835417 26.2180833285236 17.3995831509151 5.97065549964387 37.7680797174949 29.4938304872117 21.2095842189335 18.5452739609911 37.1465974023429 29.0272901256601 20.8995831509151 5.96504530588367 34.0034963493177 25.5373052851211 17.069583227209 6.57074871115536 27.6719241406089 19.385720053085 11.0895835389691 7.67205339725045 21.0504637521128 13.4036095845231 5.74828664936712 14.9171504269438 15.8736686958005 9.06368408340714 2.24449168557874 116.907238869797 26.6350962082294 18.7166121950718 10.7981272348725 52 0.802803537210289 0 0 0 0 0 0 0 2587.02694059554 0 0 1 2.79401662721266 NA 793.488626465337 0 0.620715203968907 0 153.515952146501
"etort-14" 1.00193500518799 106.295872842135 0 290.156184528574 313.730397517365 0 201 NA 1.29999995231628 201 0 456.665796215975 -0.722598816686402 0 0 33.6348494624792 0 -115.84701704902 21.0253631099423 4.74110331204588 25.086590299245 19.6084034006585 12.9109569178337 6.21065073686157 17.4220658807627 22.7939597451462 15.5150184854649 8.23136210132817 2.43460845317598 27.6810099425132 19.3025036565735 10.9221407209757 1.39343193009492 32.6029739806319 23.9717239427939 15.3365385118471 0.244931650430442 37.3817330119623 28.3791362502943 19.3723304386969 3.21732488877504 40.0018887101501 31.4376364877544 22.8705247800835 10.3139457082141 39.359924870061 31.2367841720987 23.1054993494933 5.90111074999277 36.289036453924 27.7238519355926 19.1500138237854 8.19273468335112 29.8149111469221 21.553390810567 13.2847290696553 8.35539606124897 22.6584035371149 15.4297902836018 8.19252470837948 11.8412526169076 17.7444671962566 11.0460433692664 4.33896768239367 115.428757793237 28.6820603249179 20.8328478029788 12.9794274761915 52 0.691264562222038 0 0 0 0 NA 0 0 242.241072892407 0 0 1 3.24210778225508 NA 795.596998147301 0 0 0 148.896367222381
"etort-15" 1.00606024265289 101.688018175199 0 247.13506714181 328.620218103305 0 84 1.57000005245209 1.57000005245209 84 0 656.177211676991 -0.50738720744635 0 0 36.4572398403633 0 -114.508505849058 18.4976863149418 3.73023611061674 23.2851673221309 16.9766422981466 11.3866127282826 5.79658346059745 18.4089257527781 21.360077684309 15.2091132291019 9.05107000938049 6.106539985358 25.9405814034363 19.2434645123252 12.5405128677421 2.8801236368134 32.0330426336508 25.0477753226573 18.0561609953942 2.34279081545889 37.6536914597801 30.3968500740742 23.1336614346512 10.0915949345561 40.6342049771001 33.6790296004701 26.7233422799081 11.9269595085516 39.4036914597801 32.5968512402237 25.789495836868 9.34523938343961 35.3284548537446 28.2990202600412 21.268342398855 11.331257018312 27.6602134938941 21.0726836508167 14.482746233339 12.7519782331814 19.7481880091895 13.8795879975167 8.00098725013551 18.2974935042006 13.9381883755173 8.80749982157976 3.66856973942005 145.265759489988 27.0830433187974 20.7218500849444 14.3524165709647 52 0.833807127134354 0 0 0 0 0 0 0 2658.68927606238 0 0 1 4.78235761442834 NA 770.966983135117 0 1 0 122.328198877932
"etort-16" 1.00105655193329 103.575994140828 0 205.300682242026 58.9264125044232 0 201 NA 1.61000001430511 201 0 702.668023531409 0.856282548951602 0 0 34.8225234897927 0 -115.966936148173 19.7192339493802 3.30819380945399 26.2872030574611 18.0229360736418 11.343587427812 4.65854605929293 15.6679701987911 21.5122151952592 14.2497245927101 6.97875211396401 8.31700795908355 25.8115463004978 17.9097839736416 10.0052333821893 6.21710646040563 31.1483809478716 22.7433900974137 14.3340917932395 1.17830326699158 36.2790639393633 27.3276936172082 18.3678397560203 7.62350572788811 39.4934669453418 31.0659316537909 22.629913047218 18.8852995744246 38.6318542106339 30.4620824415377 22.2823119493152 9.62646670826449 34.8245836765647 26.7764360145095 18.7225958143625 9.24357364622425 28.0541793913996 20.3553076223868 12.6564362081476 9.670748911287 20.8500913940722 13.806903900217 6.75591811569788 16.9038775228492 15.4688350704786 9.12883513765242 2.78103687991996 149.340299454294 27.184073302381 19.575128170334 11.9582890819497 52 0.516000662877376 0 0 0 0 NA 0 0 0.849675422965497 0 0 1 2.14897297942389 NA 783.867663749164 0 0 0.981219498308716 177.818298435834
"etort-17" 1.00285685062408 103.881887308767 0 216.118261561926 3.85315268933499 0 18 1.47000002861023 1.47000002861023 18 0 762.711397603404 0.0670864272722998 0 0 36.9441613378606 0 -114.075486530884 28.7675731776213 0.17770412520414 29.8691577379025 16.4993790173454 9.26740694182699 2.02762687149621 20.9338753601714 20.9483164719254 12.9539770572028 4.95304220950754 10.9224827350255 25.2725637564095 16.6890755630311 8.09999102652798 5.2554915834384 31.1286725845521 22.1521161715077 13.1733673079643 3.02326488604296 36.6764608350863 27.1859491718496 17.6920326477968 15.82975857809 39.8037626396317 30.7030673750558 21.5923722020176 15.329603312709 38.6308449157811 29.77809665008 20.9192642455516 13.7207320535524 34.6852493105077 25.6147553714572 16.5415840124339 17.0623285397488 27.234762503142 18.6371616882494 10.0395615041871 13.8652017219611 19.2962137681604 11.5593343512339 3.81637171626953 18.7296050301301 13.4828089336931 6.58838033874609 -0.311645115875834 193.30907382436 26.4859750964807 18.1932703010022 9.89448320724398 52 0.996959979183661 0 0 0 0 0 0 0 159.609546517417 0 0 1 4.2406151782621 NA 765.99235054307 0 1 0 129.313814715285
"etort-18" 1.00065267086029 106.352387433908 0 358.187797870916 352.640521749578 0 201 1.64999997615814 1.64999997615814 201 0 728.522156294514 -0.0103845460723845 0 0 34.8397923352844 0 -116.900504550315 20.4156786157157 1.39139373199292 24.6406777155378 17.5573555437761 10.2900149502331 3.02087007375992 16.5338246358913 20.7356364420856 13.0532305527569 5.36598995306493 5.74303147856234 25.0818580900978 16.6639936697829 8.24096348869262 2.32471921211113 30.3309634927227 21.4904009105061 12.6480336841332 1.34629174630398 35.6079335819237 26.1252353761178 16.6377018654668 8.25716167193254 38.7712946312685 29.4771241390198 20.1795921477229 7.2806088667436 38.187933568874 28.9737622958811 19.7513959087417 4.91137219927655 34.2200537576421 25.2257978431258 16.2297375652994 7.18225990542772 27.7345570134036 19.095180589275 10.4458043656686 11.5869980993184 20.3120900354364 12.5444172506597 4.77338324000447 22.5894125772628 15.006823826634 7.96726222543954 0.92589634583344 132.812036111147 26.6048878791634 18.2916733285599 9.96845715786163 52 0.999908801507112 0 0 0 0 0 0 0 278.897876216801 0 0 1 2.27677780902179 NA 783.576858230385 0 0 0 189.607620276646
"etort-19" 1.08161783218384 106.144032785606 0 243.890954464319 132.482908498567 0 36 1.55999994277954 1.55999994277954 36 0 712.338294950106 0.00168123642304021 0 0 34.0438470430897 0 -115.609918960837 17.8527996215416 3.52049671927599 16.3444590193968 18.1851208030136 11.4736573474099 4.762192620768 14.1882226037166 21.7155372222424 14.3811773411511 7.04493732616689 3.25743926470718 25.8265864711418 17.909930590393 9.9851548241306 1.99018398287726 30.8732412333569 22.4903462466824 14.1059863145063 0.430000007152557 35.7547050445548 27.2399305140991 18.7155701385966 9.28629546293539 38.4447069273606 30.5303455341613 22.6064012727119 18.3966770614602 37.6928270236536 29.9888821548515 22.2764013490058 7.73036796575452 34.4494809496342 26.4665858607902 18.4751546348952 5.85454370167731 27.9694814073979 20.1592978844358 12.3472332437279 5.66059973701873 21.1542905585502 13.9551212607773 6.74741705892794 17.0923836600765 16.0948563378081 9.65297655370678 3.2015121598929 118.083976430859 27.0613616637001 19.5251209556015 11.9788817466731 52 0.985862738275252 0 0 0 0 0 0 0 2670.28951356787 0 0 1 20.5933220692663 NA 849.383080472938 0.957162838050884 3.00690320938816 0 164.95621459741
"etort-20" 1.00343489646912 105.464419743315 0 303.419618127755 308.208571479801 1 201 NA 1.63999998569489 201 0 629.601812842224 -0.727322670271229 0 0 34.0401956820597 0 -115.723893880074 15.0478613881705 3.67976907298297 16.5051360170941 18.9603734236857 12.0194146540093 5.07582071770847 12.2479817041628 22.4225525286914 14.8855298506104 7.34796213260875 2.9723722507358 26.715557967568 18.4891927440129 10.2622843664853 2.01021684687391 31.7129528541651 23.2025550025079 14.6921571393586 0.276121858868503 36.6125266694068 27.8021309852787 18.991611563431 9.60090790279418 39.3311646987046 31.0519785102814 22.7648813498207 18.0259040966244 38.5007726561594 30.4911917438535 22.4816113345492 8.06379891758222 35.1995287458836 26.9340729116033 18.6607069259278 5.0111863346546 28.6694398093865 20.6605922698743 12.6491096778747 5.11212311239428 21.8809521434475 14.4364777179256 6.99200403797977 14.6571651698677 16.7900234764662 10.0508822188753 3.30395231085435 109.530773957724 27.8404988442466 20.0433510819578 12.238413042281 31 0.589560072210381 0 0 0 0 NA 0 0 982.265313172939 0 0 0 3.56650561853361 NA 792.993598216898 0.504777083967854 1.62071520396829 0 170.462529393962
"etort-21" 1.00019884109497 106.730687963684 0 284.317730059106 43.2477349169429 0 201 NA 1.61000001430511 201 0 697.002094373302 0.684559228060444 0 0 34.9512463452942 0 -117.384790457255 18.6152667701061 0.474363317800943 20.2772877228621 17.5606396488158 9.97962922437797 2.39370337481006 17.2379478246816 20.8668628606565 12.9109372465356 4.94602960064341 5.79460750233864 24.8312268723601 16.4102168555102 7.9881272614677 2.40653391443047 29.955063142159 21.037519185084 12.1140413847362 1.15747090901142 35.1271615500413 25.6514172111125 16.1707576985675 3.52688023406742 38.5350640471272 29.12650080431 19.7141015933717 4.01064428240568 38.0309977310631 28.4700486081673 18.9001786677243 3.39719891160831 34.106082081048 24.6860812177572 15.2609975580909 6.26152296565751 27.5699190294162 18.5978296207758 9.62088509664847 9.91448453189444 20.2665739680696 11.9606477848202 3.64574039296747 18.9902917095382 14.9003500518207 7.3213077462475 -0.26563667488588 111.59013593724 26.4437550933755 17.8478903044833 9.24716964069508 52 0.727771599383965 0 0 0 0 NA 0 0 1083.17225291556 0 0 1 0.612406229127148 NA 781.971166849355 0 0.115938119991354 0 268.148005198584
