"etort1","etort2","pi"
"etort-22","etort-23",0.167475
"etort-23","etort-23",0.109238
"etort-2","etort-24",0.176124
"etort-3","etort-24",0.174459
"etort-4","etort-24",0.175945
"etort-5","etort-24",0.175045
"etort-6","etort-24",0.179685
"etort-9","etort-24",0.176104
"etort-10","etort-24",0.166097
"etort-11","etort-24",0.163958
"etort-13","etort-24",0.174975
"etort-14","etort-24",0.177599
"etort-16","etort-24",0.174002
"etort-18","etort-24",0.16823
"etort-19","etort-24",0.174648
"etort-20","etort-24",0.174543
"etort-21","etort-24",0.164728
"etort-22","etort-24",0.165262
"etort-23","etort-24",0.165125
"etort-24","etort-24",0.104788
"etort-2","etort-25",0.176861
"etort-3","etort-25",0.173929
"etort-4","etort-25",0.176
"etort-5","etort-25",0.176274
"etort-6","etort-25",0.180968
"etort-9","etort-25",0.177098
"etort-10","etort-25",0.167022
"etort-11","etort-25",0.166116
"etort-13","etort-25",0.176483
"etort-14","etort-25",0.178111
"etort-16","etort-25",0.174892
"etort-18","etort-25",0.168491
"etort-19","etort-25",0.175715
"etort-20","etort-25",0.176184
"etort-21","etort-25",0.165706
"etort-22","etort-25",0.167352
"etort-23","etort-25",0.167041
"etort-24","etort-25",0.164282
"etort-25","etort-25",0.108261
"etort-2","etort-26",0.176743
"etort-3","etort-26",0.17559
"etort-4","etort-26",0.177107
"etort-5","etort-26",0.171982
"etort-6","etort-26",0.175177
"etort-9","etort-26",0.16774
"etort-10","etort-26",0.177272
"etort-11","etort-26",0.176351
"etort-13","etort-26",0.176298
"etort-14","etort-26",0.177691
"etort-16","etort-26",0.174297
"etort-18","etort-26",0.175912
"etort-19","etort-26",0.175555
"etort-20","etort-26",0.176832
"etort-21","etort-26",0.176038
"etort-22","etort-26",0.176582
"etort-23","etort-26",0.177301
"etort-24","etort-26",0.177106
"etort-25","etort-26",0.178278
"etort-26","etort-26",0.109387
"etort-2","etort-27",0.176068
"etort-3","etort-27",0.17331
"etort-4","etort-27",0.174873
"etort-5","etort-27",0.176352
"etort-6","etort-27",0.181388
"etort-9","etort-27",0.177775
"etort-10","etort-27",0.163739
"etort-11","etort-27",0.162583
"etort-13","etort-27",0.17599
"etort-14","etort-27",0.177762
"etort-16","etort-27",0.17494
"etort-18","etort-27",0.169373
"etort-19","etort-27",0.17467
"etort-20","etort-27",0.174783
"etort-21","etort-27",0.161449
"etort-22","etort-27",0.16487
"etort-23","etort-27",0.16897
"etort-24","etort-27",0.16674
"etort-25","etort-27",0.167278
"etort-26","etort-27",0.178066
"etort-27","etort-27",0.109924
"etort-2","etort-28",0.177077
"etort-3","etort-28",0.173427
"etort-4","etort-28",0.175215
"etort-5","etort-28",0.176684
"etort-6","etort-28",0.180636
"etort-9","etort-28",0.177149
"etort-10","etort-28",0.165377
"etort-11","etort-28",0.163364
"etort-13","etort-28",0.175122
"etort-14","etort-28",0.17784
"etort-16","etort-28",0.174092
"etort-18","etort-28",0.168959
"etort-19","etort-28",0.17383
"etort-20","etort-28",0.17416
"etort-21","etort-28",0.16144
"etort-22","etort-28",0.16333
"etort-23","etort-28",0.168034
"etort-24","etort-28",0.166675
"etort-25","etort-28",0.167964
"etort-26","etort-28",0.177267
"etort-27","etort-28",0.163657
"etort-28","etort-28",0.108223
"etort-2","etort-33",0.17822
"etort-3","etort-33",0.177005
"etort-4","etort-33",0.178087
"etort-5","etort-33",0.171575
"etort-6","etort-33",0.173321
"etort-9","etort-33",0.169443
"etort-10","etort-33",0.176899
"etort-11","etort-33",0.176466
"etort-13","etort-33",0.176856
"etort-14","etort-33",0.180104
"etort-16","etort-33",0.174518
"etort-18","etort-33",0.176615
"etort-19","etort-33",0.177665
"etort-20","etort-33",0.178023
"etort-21","etort-33",0.176706
"etort-22","etort-33",0.176493
"etort-23","etort-33",0.177454
"etort-24","etort-33",0.177132
"etort-25","etort-33",0.178272
"etort-26","etort-33",0.170544
"etort-27","etort-33",0.178457
"etort-28","etort-33",0.177822
"etort-33","etort-33",0.109366
"etort-2","etort-34",0.17766
"etort-3","etort-34",0.176738
"etort-4","etort-34",0.177351
"etort-5","etort-34",0.171539
"etort-6","etort-34",0.174616
"etort-9","etort-34",0.168382
"etort-10","etort-34",0.177766
"etort-11","etort-34",0.177085
"etort-13","etort-34",0.177317
"etort-14","etort-34",0.178665
