"etort1","etort2","covariance"
"etort-28","etort-42",0.000925
"etort-33","etort-42",0.001877
"etort-34","etort-42",0.00192
"etort-39","etort-42",0.002038
"etort-40","etort-42",0.001991
"etort-41","etort-42",0.002641
"etort-42","etort-42",0.104344
"etort-2","etort-43",0.001435
"etort-3","etort-43",0.001701
"etort-4","etort-43",0.001754
"etort-5","etort-43",0.002564
"etort-6","etort-43",0.003637
"etort-9","etort-43",0.002751
"etort-10","etort-43",0.001283
"etort-11","etort-43",0.001711
"etort-13","etort-43",0.001628
"etort-14","etort-43",0.001746
"etort-16","etort-43",0.004074
"etort-18","etort-43",0.001583
"etort-19","etort-43",0.00186
"etort-20","etort-43",0.001808
"etort-21","etort-43",0.001387
"etort-22","etort-43",0.001239
"etort-23","etort-43",0.001479
"etort-24","etort-43",0.001246
"etort-25","etort-43",0.001665
"etort-26","etort-43",0.003541
"etort-27","etort-43",0.001965
"etort-28","etort-43",0.001912
"etort-33","etort-43",0.00309
"etort-34","etort-43",0.003283
"etort-39","etort-43",0.003421
"etort-40","etort-43",0.003654
"etort-41","etort-43",0.004781
"etort-42","etort-43",0.002023
"etort-43","etort-43",0.135523
"etort-2","etort-44",0.001179
"etort-3","etort-44",0.001355
"etort-4","etort-44",0.001571
"etort-5","etort-44",0.002302
"etort-6","etort-44",0.00295
"etort-9","etort-44",0.002253
"etort-10","etort-44",0.001056
"etort-11","etort-44",0.001216
"etort-13","etort-44",0.001106
"etort-14","etort-44",0.001295
"etort-16","etort-44",0.003539
"etort-18","etort-44",0.001359
"etort-19","etort-44",0.001576
"etort-20","etort-44",0.001409
"etort-21","etort-44",0.001078
"etort-22","etort-44",0.000895
"etort-23","etort-44",0.001107
"etort-24","etort-44",0.000969
"etort-25","etort-44",0.001132
"etort-26","etort-44",0.002895
"etort-27","etort-44",0.001481
"etort-28","etort-44",0.001504
"etort-33","etort-44",0.002646
"etort-34","etort-44",0.002792
"etort-39","etort-44",0.002753
"etort-40","etort-44",0.002748
"etort-41","etort-44",0.003751
"etort-42","etort-44",0.001697
"etort-43","etort-44",0.003097
"etort-44","etort-44",0.118057
"etort-2","etort-45",0.001092
"etort-3","etort-45",0.001147
"etort-4","etort-45",0.001505
"etort-5","etort-45",0.001989
"etort-6","etort-45",0.002516
"etort-9","etort-45",0.00205
"etort-10","etort-45",0.000889
"etort-11","etort-45",0.001166
"etort-13","etort-45",0.001144
"etort-14","etort-45",0.001224
"etort-16","etort-45",0.002789
"etort-18","etort-45",0.001246
"etort-19","etort-45",0.001347
"etort-20","etort-45",0.00113
"etort-21","etort-45",0.000944
"etort-22","etort-45",0.000996
"etort-23","etort-45",0.001034
"etort-24","etort-45",0.000925
"etort-25","etort-45",0.001201
"etort-26","etort-45",0.002594
"etort-27","etort-45",0.001338
"etort-28","etort-45",0.001284
"etort-33","etort-45",0.002434
"etort-34","etort-45",0.002514
"etort-39","etort-45",0.002638
"etort-40","etort-45",0.002703
"etort-41","etort-45",0.003394
"etort-42","etort-45",0.001559
"etort-43","etort-45",0.002799
"etort-44","etort-45",0.00218
"etort-45","etort-45",0.10953
"etort-2","etort-52",0.001383
"etort-3","etort-52",0.001737
"etort-4","etort-52",0.001931
"etort-5","etort-52",0.002611
"etort-6","etort-52",0.004053
"etort-9","etort-52",0.002797
"etort-10","etort-52",0.001261
"etort-11","etort-52",0.001733
"etort-13","etort-52",0.00158
"etort-14","etort-52",0.001642
"etort-16","etort-52",0.004118
"etort-18","etort-52",0.001793
"etort-19","etort-52",0.001658
"etort-20","etort-52",0.001977
"etort-21","etort-52",0.001759
"etort-22","etort-52",0.001446
"etort-23","etort-52",0.001494
"etort-24","etort-52",0.001371
"etort-25","etort-52",0.001853
"etort-26","etort-52",0.003202
"etort-27","etort-52",0.001838
"etort-28","etort-52",0.002202
"etort-33","etort-52",0.003265
"etort-34","etort-52",0.003185
"etort-39","etort-52",0.003444
"etort-40","etort-52",0.003643
"etort-41","etort-52",0.004591
"etort-42","etort-52",0.001985
"etort-43","etort-52",0.003778
"etort-44","etort-52",0.002979
"etort-45","etort-52",0.002859
"etort-52","etort-52",0.14599
"etort-2","etort-54",0.001127
"etort-3","etort-54",0.001413
"etort-4","etort-54",0.001474
"etort-5","etort-54",0.001877
"etort-6","etort-54",0.002612
"etort-9","etort-54",0.002032
"etort-10","etort-54",0.001082
"etort-11","etort-54",0.001112
"etort-13","etort-54",0.001171
"etort-14","etort-54",0.001138
"etort-16","etort-54",0.002777
"etort-18","etort-54",0.001251
"etort-19","etort-54",0.001383
"etort-20","etort-54",0.001315
"etort-21","etort-54",0.001169
"etort-22","etort-54",0.000949
"etort-23","etort-54",0.001069
"etort-24","etort-54",0.000971
"etort-25","etort-54",0.001356
"etort-26","etort-54",0.002565
"etort-27","etort-54",0.001482
"etort-28","etort-54",0.001313
"etort-33","etort-54",0.002189
"etort-34","etort-54",0.002305
"etort-39","etort-54",0.002512
"etort-40","etort-54",0.002663
"etort-41","etort-54",0.003226
"etort-42","etort-54",0.001612
"etort-43","etort-54",0.002533
"etort-44","etort-54",0.002188
"etort-45","etort-54",0.002065
"etort-52","etort-54",0.002525
"etort-54","etort-54",0.100892
"etort-2","etort-57",0.002612
"etort-3","etort-57",0.00209
"etort-4","etort-57",0.00274
"etort-5","etort-57",0.00131
"etort-6","etort-57",0.001311
"etort-9","etort-57",0.001122
"etort-10","etort-57",0.001305
"etort-11","etort-57",0.001267
"etort-13","etort-57",0.002409
"etort-14","etort-57",0.003321
"etort-16","etort-57",0.003106
"etort-18","etort-57",0.001773
"etort-19","etort-57",0.002552
"etort-20","etort-57",0.002788
"etort-21","etort-57",0.001454
"etort-22","etort-57",0.001154
"etort-23","etort-57",0.001106
"etort-24","etort-57",0.001023
"etort-25","etort-57",0.001491
"etort-26","etort-57",0.0016
"etort-27","etort-57",0.001928
"etort-28","etort-57",0.001871
"etort-33","etort-57",0.001216
"etort-34","etort-57",0.0016
"etort-39","etort-57",0.001678
"etort-40","etort-57",0.001598
"etort-41","etort-57",0.001756
"etort-42","etort-57",0.000688
"etort-43","etort-57",0.001508
"etort-44","etort-57",0.001197
"etort-45","etort-57",0.001085
"etort-52","etort-57",0.00152
"etort-54","etort-57",0.001034
"etort-57","etort-57",0.1338
"etort-2","etort-60 (sheared2)",0.00194
"etort-3","etort-60 (sheared2)",0.002571
"etort-4","etort-60 (sheared2)",0.002693
"etort-5","etort-60 (sheared2)",0.00167
"etort-6","etort-60 (sheared2)",0.001071
"etort-9","etort-60 (sheared2)",0.00141
"etort-10","etort-60 (sheared2)",0.00253
"etort-11","etort-60 (sheared2)",0.00264
"etort-13","etort-60 (sheared2)",0.002094
"etort-14","etort-60 (sheared2)",0.002047
"etort-16","etort-60 (sheared2)",0.00467
"etort-18","etort-60 (sheared2)",0.003293
"etort-19","etort-60 (sheared2)",0.002689
"etort-20","etort-60 (sheared2)",0.002947
"etort-21","etort-60 (sheared2)",0.002781
"etort-22","etort-60 (sheared2)",0.002399
"etort-23","etort-60 (sheared2)",0.002114
"etort-24","etort-60 (sheared2)",0.002311
"etort-25","etort-60 (sheared2)",0.003086
"etort-26","etort-60 (sheared2)",0.001707
"etort-27","etort-60 (sheared2)",0.003326
"etort-28","etort-60 (sheared2)",0.003305
"etort-33","etort-60 (sheared2)",0.001345
"etort-34","etort-60 (sheared2)",0.001464
"etort-39","etort-60 (sheared2)",0.001495
"etort-40","etort-60 (sheared2)",0.001551
"etort-41","etort-60 (sheared2)",0.001792
"etort-42","etort-60 (sheared2)",0.000744
"etort-43","etort-60 (sheared2)",0.001596
"etort-44","etort-60 (sheared2)",0.001245
"etort-45","etort-60 (sheared2)",0.001054
"etort-52","etort-60 (sheared2)",0.001682
"etort-54","etort-60 (sheared2)",0.001103
"etort-57","etort-60 (sheared2)",0.002055
"etort-60 (sheared2)","etort-60 (sheared2)",0.118221
"etort-2","etort-61",0.004618
"etort-3","etort-61",0.004158
"etort-4","etort-61",0.004953
"etort-5","etort-61",0.002841
"etort-6","etort-61",0.002729
"etort-9","etort-61",0.002497
"etort-10","etort-61",0.002689
"etort-11","etort-61",0.002883
"etort-13","etort-61",0.004546
"etort-14","etort-61",0.006529
"etort-16","etort-61",0.006465
"etort-18","etort-61",0.003351
"etort-19","etort-61",0.005029
"etort-20","etort-61",0.005113
"etort-21","etort-61",0.003167
"etort-22","etort-61",0.002648
"etort-23","etort-61",0.002499
"etort-24","etort-61",0.002682
"etort-25","etort-61",0.003647
"etort-26","etort-61",0.003564
"etort-27","etort-61",0.004114
"etort-28","etort-61",0.004194
"etort-33","etort-61",0.0026
"etort-34","etort-61",0.003148
"etort-39","etort-61",0.003396
"etort-40","etort-61",0.003435
"etort-41","etort-61",0.003991
"etort-42","etort-61",0.001126
"etort-43","etort-61",0.003201
"etort-44","etort-61",0.002496
"etort-45","etort-61",0.00229
"etort-52","etort-61",0.003006
"etort-54","etort-61",0.001977
"etort-57","etort-61",0.006525
"etort-60 (sheared2)","etort-61",0.003776
"etort-61","etort-61",0.220757
"etort-2","etort-63",0.003554
"etort-3","etort-63",0.003964
"etort-4","etort-63",0.005035
"etort-5","etort-63",0.002322
"etort-6","etort-63",0.002243
"etort-9","etort-63",0.001885
"etort-10","etort-63",0.002597
"etort-11","etort-63",0.002605
"etort-13","etort-63",0.003914
"etort-14","etort-63",0.004147
"etort-16","etort-63",0.005897
"etort-18","etort-63",0.003312
"etort-19","etort-63",0.005068
"etort-20","etort-63",0.005448
"etort-21","etort-63",0.002832
"etort-22","etort-63",0.002677
"etort-23","etort-63",0.002634
"etort-24","etort-63",0.002556
"etort-25","etort-63",0.003499
"etort-26","etort-63",0.002654
"etort-27","etort-63",0.003912
"etort-28","etort-63",0.003773
"etort-33","etort-63",0.00194
"etort-34","etort-63",0.002581
"etort-39","etort-63",0.002541
"etort-40","etort-63",0.002582
"etort-41","etort-63",0.002981
"etort-42","etort-63",0.00119
"etort-43","etort-63",0.002581
"etort-44","etort-63",0.001739
"etort-45","etort-63",0.001709
"etort-52","etort-63",0.002864
"etort-54","etort-63",0.00161
"etort-57","etort-63",0.003532
"etort-60 (sheared2)","etort-63",0.003943
"etort-61","etort-63",0.00752
"etort-63","etort-63",0.173107
"etort-2","etort-64",0.003367
"etort-3","etort-64",0.004022
"etort-4","etort-64",0.004461
"etort-5","etort-64",0.002301
"etort-6","etort-64",0.001522
"etort-9","etort-64",0.001778
"etort-10","etort-64",0.002967
"etort-11","etort-64",0.003034
"etort-13","etort-64",0.003544
"etort-14","etort-64",0.003495
"etort-16","etort-64",0.006249
"etort-18","etort-64",0.003816
"etort-19","etort-64",0.004228
"etort-20","etort-64",0.004542
"etort-21","etort-64",0.003245
"etort-22","etort-64",0.002595
"etort-23","etort-64",0.002595
"etort-24","etort-64",0.002594
"etort-25","etort-64",0.003127
"etort-26","etort-64",0.002482
"etort-27","etort-64",0.004156
"etort-28","etort-64",0.003724
"etort-33","etort-64",0.001942
"etort-34","etort-64",0.00199
"etort-39","etort-64",0.002184
"etort-40","etort-64",0.002088
"etort-41","etort-64",0.002852
"etort-42","etort-64",0.000981
"etort-43","etort-64",0.002391
"etort-44","etort-64",0.001719
"etort-45","etort-64",0.001505
"etort-52","etort-64",0.002287
"etort-54","etort-64",0.001397
"etort-57","etort-64",0.003108
"etort-60 (sheared2)","etort-64",0.003979
"etort-61","etort-64",0.006238
"etort-63","etort-64",0.00634
"etort-64","etort-64",0.165358
"etort-2","etort-65",0.003069
"etort-3","etort-65",0.003412
"etort-4","etort-65",0.004414
"etort-5","etort-65",0.001866
"etort-6","etort-65",0.001622
"etort-9","etort-65",0.001721
"etort-10","etort-65",0.002344
"etort-11","etort-65",0.002193
"etort-13","etort-65",0.003833
"etort-14","etort-65",0.00386
"etort-16","etort-65",0.004915
"etort-18","etort-65",0.002865
"etort-19","etort-65",0.004031
"etort-20","etort-65",0.004112
"etort-21","etort-65",0.002466
"etort-22","etort-65",0.002011
"etort-23","etort-65",0.001939
"etort-24","etort-65",0.001927
"etort-25","etort-65",0.002517
"etort-26","etort-65",0.00227
"etort-27","etort-65",0.003063
"etort-28","etort-65",0.003077
"etort-33","etort-65",0.001675
"etort-34","etort-65",0.001918
"etort-39","etort-65",0.002083
"etort-40","etort-65",0.002017
"etort-41","etort-65",0.002748
"etort-42","etort-65",0.001052
"etort-43","etort-65",0.002041
"etort-44","etort-65",0.001619
"etort-45","etort-65",0.001451
"etort-52","etort-65",0.002023
"etort-54","etort-65",0.001495
"etort-57","etort-65",0.004152
"etort-60 (sheared2)","etort-65",0.00317
"etort-61","etort-65",0.007022
"etort-63","etort-65",0.00642
"etort-64","etort-65",0.005645
"etort-65","etort-65",0.158657
"etort-2","etort-66",0.002374
"etort-3","etort-66",0.00287
"etort-4","etort-66",0.003347
"etort-5","etort-66",0.001741
"etort-6","etort-66",0.000817
"etort-9","etort-66",0.001467
"etort-10","etort-66",0.003006
"etort-11","etort-66",0.003467
"etort-13","etort-66",0.002368
"etort-14","etort-66",0.002516
"etort-16","etort-66",0.005152
"etort-18","etort-66",0.003414
"etort-19","etort-66",0.00303
"etort-20","etort-66",0.003081
"etort-21","etort-66",0.003704
"etort-22","etort-66",0.002936
"etort-23","etort-66",0.003054
"etort-24","etort-66",0.002943
"etort-25","etort-66",0.003836
"etort-26","etort-66",0.001958
"etort-27","etort-66",0.00456
"etort-28","etort-66",0.004676
"etort-33","etort-66",0.001551
"etort-34","etort-66",0.001761
"etort-39","etort-66",0.001765
"etort-40","etort-66",0.001686
"etort-41","etort-66",0.002199
"etort-42","etort-66",0.000829
"etort-43","etort-66",0.001809
"etort-44","etort-66",0.00149
"etort-45","etort-66",0.001242
"etort-52","etort-66",0.001743
"etort-54","etort-66",0.001188
"etort-57","etort-66",0.002427
"etort-60 (sheared2)","etort-66",0.003367
"etort-61","etort-66",0.004108
"etort-63","etort-66",0.004428
"etort-64","etort-66",0.004793
"etort-65","etort-66",0.003983
"etort-66","etort-66",0.147704
"etort-2","etort-67",0.004066
"etort-3","etort-67",0.004915
"etort-4","etort-67",0.005929
"etort-5","etort-67",0.002861
"etort-6","etort-67",0.002148
"etort-9","etort-67",0.002331
"etort-10","etort-67",0.003703
"etort-11","etort-67",0.003784
"etort-13","etort-67",0.004283
"etort-14","etort-67",0.004224
"etort-16","etort-67",0.00787
"etort-18","etort-67",0.004781
"etort-19","etort-67",0.005254
"etort-20","etort-67",0.005917
"etort-21","etort-67",0.004275
"etort-22","etort-67",0.003816
"etort-23","etort-67",0.00307
"etort-24","etort-67",0.003402
"etort-25","etort-67",0.004254
"etort-26","etort-67",0.003067
"etort-27","etort-67",0.005538
"etort-28","etort-67",0.005333
"etort-33","etort-67",0.002235
"etort-34","etort-67",0.002853
"etort-39","etort-67",0.002782
"etort-40","etort-67",0.00269
"etort-41","etort-67",0.003704
"etort-42","etort-67",0.00119
"etort-43","etort-67",0.002603
"etort-44","etort-67",0.001958
"etort-45","etort-67",0.002006
"etort-52","etort-67",0.003202
"etort-54","etort-67",0.002196
"etort-57","etort-67",0.003914
