"etort1","etort2","distance"
"etort-19","etort-33",104527.427373323
"etort-20","etort-33",111290.880653378
"etort-21","etort-33",223384.069435708
"etort-22","etort-33",218564.532761258
"etort-23","etort-33",140136.835935017
"etort-24","etort-33",180448.659364172
"etort-25","etort-33",165384.883091525
"etort-26","etort-33",80446.1724270119
"etort-27","etort-33",250466.603030961
"etort-28","etort-33",260308.253356012
"etort-33","etort-33",0
"etort-2","etort-34",194878.208686065
"etort-3","etort-34",124079.719676539
"etort-4","etort-34",100037.26222293
"etort-5","etort-34",101522.825523231
"etort-6","etort-34",87711.384820101
"etort-9","etort-34",14369.4076962653
"etort-10","etort-34",270067.402068614
"etort-11","etort-34",203578.530495961
"etort-13","etort-34",120251.4370002
"etort-14","etort-34",141550.015464456
"etort-16","etort-34",131640.186042725
"etort-18","etort-34",214008.937593258
"etort-19","etort-34",99317.708068657
"etort-20","etort-34",109134.017346446
"etort-21","etort-34",259715.243806811
"etort-22","etort-34",252334.981100688
"etort-23","etort-34",181836.551030996
"etort-24","etort-34",223885.381837374
"etort-25","etort-34",207463.114110817
"etort-26","etort-34",27522.8001261122
"etort-27","etort-34",290525.840798454
"etort-28","etort-34",301777.917070728
"etort-33","etort-34",53321.8401798198
"etort-34","etort-34",0
"etort-2","etort-39",203729.458317467
"etort-3","etort-39",132581.56897009
"etort-4","etort-39",108541.245574045
"etort-5","etort-39",107756.506622275
"etort-6","etort-39",83663.3251105867
"etort-9","etort-39",22121.8558331355
"etort-10","etort-39",276902.6321071
"etort-11","etort-39",209108.673539231
"etort-13","etort-39",129713.299379667
"etort-14","etort-39",151028.450946768
"etort-16","etort-39",137042.726705258
"etort-18","etort-39",220269.76811697
"etort-19","etort-39",108592.523927052
"etort-20","etort-39",118333.978488852
"etort-21","etort-39",265880.938091316
"etort-22","etort-39",258898.723011114
"etort-23","etort-39",186780.880071651
"etort-24","etort-39",228557.9600531
"etort-25","etort-39",212405.830153457
"etort-26","etort-39",31316.1294942652
"etort-27","etort-39",296052.105912431
"etort-28","etort-39",307023.552097617
"etort-33","etort-39",53701.1324627209
"etort-34","etort-39",9479.31198228946
"etort-39","etort-39",0
"etort-2","etort-40",194128.493245745
"etort-3","etort-40",121731.452018702
"etort-4","etort-40",98252.0479829331
"etort-5","etort-40",89339.433372002
"etort-6","etort-40",62766.0982557666
"etort-9","etort-40",38937.4360367747
"etort-10","etort-40",258754.735866546
"etort-11","etort-40",188296.343898296
"etort-13","etort-40",128269.52465295
"etort-14","etort-40",151023.72068212
"etort-16","etort-40",116409.375363032
"etort-18","etort-40",200906.321102193
"etort-19","etort-40",104126.58695614
"etort-20","etort-40",112774.859133804
"etort-21","etort-40",246161.747255212
"etort-22","etort-40",240113.346631626
"etort-23","etort-40",165056.632616695
"etort-24","etort-40",206306.832601787
"etort-25","etort-40",190593.011986747
"etort-26","etort-40",53270.4829294895
"etort-27","etort-40",275017.397944789
"etort-28","etort-40",285496.388079646
"etort-33","etort-40",28859.9180784184
"etort-34","etort-40",25750.6153898586
"etort-39","etort-40",24865.9799257562
"etort-40","etort-40",0
"etort-2","etort-41",203792.522334414
"etort-3","etort-41",132836.641466924
"etort-4","etort-41",112515.163904524
"etort-5","etort-41",87659.0719358894
"etort-6","etort-41",23408.9036217396
"etort-9","etort-41",80704.5488672974
"etort-10","etort-41",248845.286523657
"etort-11","etort-41",172627.596665291
"etort-13","etort-41",152989.21333297
"etort-14","etort-41",176523.230621229
"etort-16","etort-41",105011.902081557
"etort-18","etort-41",189109.80834759
"etort-19","etort-41",126540.988179102
"etort-20","etort-41",133001.672187432
"etort-21","etort-41",232332.5020716
"etort-22","etort-41",228922.79467859
"etort-23","etort-41",147169.056606884
"etort-24","etort-41",185358.147708044
"etort-25","etort-41",171576.679356854
"etort-26","etort-41",94992.2302421445
"etort-27","etort-41",256908.953156382
"etort-28","etort-41",265724.390644996
"etort-33","etort-41",22311.1133892865
"etort-34","etort-41",67528.939492051
"etort-39","etort-41",65018.2923625889
"etort-40","etort-41",41845.9350330207
"etort-41","etort-41",0
"etort-2","etort-42",213970.48367617
"etort-3","etort-42",144371.975670801
"etort-4","etort-42",125333.433980057
"etort-5","etort-42",96606.8542883531
"etort-6","etort-42",8806.73453825212
"etort-9","etort-42",97399.0460641074
"etort-10","etort-42",251350.217019885
"etort-11","etort-42",173434.403289963
"etort-13","etort-42",167758.718736553
"etort-14","etort-42",191309.591459392
"etort-16","etort-42",109420.540737598
"etort-18","etort-42",191408.720012984
"etort-19","etort-42",141065.145941381
"etort-20","etort-42",146941.132081712
"etort-21","etort-42",233275.467030516
"etort-22","etort-42",231048.648311383
"etort-23","etort-42",147391.732850315
"etort-24","etort-42",183458.04596393
"etort-25","etort-42",170818.968460212
"etort-26","etort-42",111275.305831744
"etort-27","etort-42",255706.615047279
"etort-28","etort-42",263675.464690286
"etort-33","etort-42",38448.494042168
"etort-34","etort-42",83953.8217830072
"etort-39","etort-42",80755.6276478511
"etort-40","etort-42",58462.7869078711
"etort-41","etort-42",17062.8634099277
"etort-42","etort-42",0
"etort-2","etort-43",157012.32150952
"etort-3","etort-43",90478.9064689326
"etort-4","etort-43",75789.9179381347
"etort-5","etort-43",39819.6904059891
"etort-6","etort-43",67191.455269439
"etort-9","etort-43",98418.0538355437
"etort-10","etort-43",196125.280041315
"etort-11","etort-43",121058.610829875
"etort-13","etort-43",123812.862221614
"etort-14","etort-43",146593.660070926
"etort-16","etort-43",52120.4493973216
"etort-18","etort-43",136545.10573061
"etort-19","etort-43",97330.0827172299
"etort-20","etort-43",100249.723719686
"etort-21","etort-43",180383.809283334
"etort-22","etort-43",176354.231174801
"etort-23","etort-43",96425.9656915245
"etort-24","etort-43",136696.994865482
"etort-25","etort-43",121609.557466054
"etort-26","etort-43",115176.752919522
"etort-27","etort-43",206755.44486793
"etort-28","etort-43",216522.284853219
"etort-33","etort-43",43787.2010831244
"etort-34","etort-43",90690.3657613458
"etort-39","etort-43",93762.0435993588
"etort-40","etort-43",70224.3180632038
"etort-41","etort-43",52891.5601248538
"etort-42","etort-43",58486.6423019139
"etort-43","etort-43",0
"etort-2","etort-44",159193.653511331
"etort-3","etort-44",92794.9813427193
"etort-4","etort-44",78110.5419679605
"etort-5","etort-44",42082.1128054424
"etort-6","etort-44",65296.0800130287
"etort-9","etort-44",99163.6443624429
"etort-10","etort-44",197365.405507259
"etort-11","etort-44",121938.421051929
"etort-13","etort-44",126085.373057775
"etort-14","etort-44",148887.15594317
"etort-16","etort-44",53552.5151579935
"etort-18","etort-44",137709.532037066
"etort-19","etort-44",99578.4630193249
"etort-20","etort-44",102549.589255431
"etort-21","etort-44",181371.349953306
"etort-22","etort-44",177525.256704161
"etort-23","etort-44",97120.6943479615
"etort-24","etort-44",137118.570229213
"etort-25","etort-44",122200.424694295
"etort-26","etort-44",115907.093499942
"etort-27","etort-44",207422.381978974
"etort-28","etort-44",217061.158755836
"etort-33","etort-44",43338.8316148614
"etort-34","etort-44",91150.0412873158
"etort-39","etort-44",93996.8013243396
"etort-40","etort-44",70238.6931287992
"etort-41","etort-44",51520.4222909702
"etort-42","etort-44",56623.376604248
"etort-43","etort-44",2333.48066524395
"etort-44","etort-44",0
"etort-2","etort-45",157729.703703454
"etort-3","etort-45",88090.8619737423
"etort-4","etort-45",70230.7937708989
"etort-5","etort-45",40973.9797069564
"etort-6","etort-45",65171.2329205606
"etort-9","etort-45",83392.2109181404
"etort-10","etort-45",205578.363411597
"etort-11","etort-45",132528.188247475
"etort-13","etort-45",116020.46109826
"etort-14","etort-45",139282.476866568
"etort-16","etort-45",61470.7016710559
"etort-18","etort-45",146583.407971882
"etort-19","etort-45",89163.6836097196
"etort-20","etort-45",93438.9944684629
"etort-21","etort-45",191204.5133408
"etort-22","etort-45",186239.745892948
"etort-23","etort-45",108734.723767149
"etort-24","etort-45",149811.179057695
"etort-25","etort-45",134201.749985168
"etort-26","etort-45",100155.280783967
"etort-27","etort-45",218922.936309594
"etort-28","etort-45",229151.523966931
"etort-33","etort-45",32331.6518065877
"etort-34","etort-45",75932.2216709758
"etort-39","etort-45",79395.1053135476
"etort-40","etort-45",56499.2093713917
"etort-41","etort-45",46689.36008427
"etort-42","etort-45",56400.2623291735
"etort-43","etort-45",15049.7419641163
"etort-44","etort-45",16033.3695639299
"etort-45","etort-45",0
"etort-2","etort-52",154253.330237951
"etort-3","etort-52",88266.8594529151
"etort-4","etort-52",74221.4924256378
"etort-5","etort-52",37333.7147093955
"etort-6","etort-52",70338.2763207673
"etort-9","etort-52",100443.519965708
"etort-10","etort-52",192801.02135119
"etort-11","etort-52",117825.12586552
"etort-13","etort-52",122600.242938291
"etort-14","etort-52",145238.052120105
"etort-16","etort-52",48791.129533454
"etort-18","etort-52",133232.037408447
"etort-19","etort-52",96263.1416839068
"etort-20","etort-52",98863.1754408043
"etort-21","etort-52",177111.301342131
"etort-22","etort-52",173039.408221846
"etort-23","etort-52",93276.5177151239
"etort-24","etort-52",133695.766450318
"etort-25","etort-52",118510.112629132
"etort-26","etort-52",117210.977282615
"etort-27","etort-52",203609.606120555
"etort-28","etort-52",213443.802825815
"etort-33","etort-52",46876.6082156517
"etort-34","etort-52",93036.5346733703
"etort-39","etort-52",96323.186517255
"etort-40","etort-52",72986.5317486835
"etort-41","etort-52",56220.7792981782
