"etort1","etort2","distance"
"etort-80","etort-81",75793.0297774474
"etort-81","etort-81",0
"etort-15","etort-82",141744.173253635
"etort-17","etort-82",208061.585636291
"etort-31","etort-82",183717.847986961
"etort-36","etort-82",105378.880632511
"etort-37","etort-82",184336.400818132
"etort-38","etort-82",125984.299440487
"etort-46","etort-82",11978.2046711886
"etort-47","etort-82",10823.8151418751
"etort-48","etort-82",8947.98723913479
"etort-49","etort-82",42486.3281649526
"etort-51","etort-82",45358.2615541091
"etort-53","etort-82",126182.875103674
"etort-55","etort-82",7850.2043345952
"etort-56 (sheared2)","etort-82",39523.3072852955
"etort-58","etort-82",218517.614176279
"etort-59","etort-82",57227.7838662675
"etort-62","etort-82",83950.9214298747
"etort-78","etort-82",132034.317012572
"etort-79","etort-82",66845.4667103942
"etort-80","etort-82",77790.4806553237
"etort-81","etort-82",2233.64295079939
"etort-82","etort-82",0
"etort-15","etort-83",141230.245857094
"etort-17","etort-83",207550.79397782
"etort-31","etort-83",183198.336977479
"etort-36","etort-83",104852.226177969
"etort-37","etort-83",183766.630369751
"etort-38","etort-83",125376.013873526
"etort-46","etort-83",12561.42922993
"etort-47","etort-83",11442.2430544329
"etort-48","etort-83",9528.19849114678
"etort-49","etort-83",42993.3090050406
"etort-51","etort-83",45895.9104361242
"etort-53","etort-83",125715.612113447
"etort-55","etort-83",8460.41215787441
"etort-56 (sheared2)","etort-83",39129.9094450775
"etort-58","etort-83",217866.700601362
"etort-59","etort-83",56772.9026477207
"etort-62","etort-83",83419.4471911653
"etort-78","etort-83",131385.720524014
"etort-79","etort-83",66218.0296051317
"etort-80","etort-83",77177.7054274233
"etort-81","etort-83",1857.6296286544
"etort-82","etort-83",660.229027371044
"etort-83","etort-83",0
"etort-15","etort-84",143593.912176755
"etort-17","etort-84",209897.58102569
"etort-31","etort-84",185584.660482919
"etort-36","etort-84",107237.047359538
"etort-37","etort-84",186343.148202158
"etort-38","etort-84",128155.112349003
"etort-46","etort-84",9971.47094653928
"etort-47","etort-84",8668.74797518858
"etort-48","etort-84",6987.69359270596
"etort-49","etort-84",40704.4411087269
"etort-51","etort-84",43461.6185220509
"etort-53","etort-84",127873.891490097
"etort-55","etort-84",5760.87610873129
"etort-56 (sheared2)","etort-84",40947.0654711685
"etort-58","etort-84",220828.767293324
"etort-59","etort-84",58892.7404102382
"etort-62","etort-84",85866.2660996028
"etort-78","etort-84",134326.516066335
"etort-79","etort-84",69062.9833711553
"etort-80","etort-84",79955.2663819624
"etort-81","etort-84",4164.59692311668
"etort-82","etort-84",2338.59962717142
