"etort1","etort2","pi"
"etort-36","etort-89",0.173183
"etort-37","etort-89",0.170456
"etort-38","etort-89",0.17337
"etort-46","etort-89",0.170992
"etort-47","etort-89",0.170085
"etort-48","etort-89",0.1676
"etort-49","etort-89",0.17292
"etort-51","etort-89",0.177388
"etort-53","etort-89",0.172168
"etort-55","etort-89",0.170894
"etort-56 (sheared2)","etort-89",0.171769
"etort-58","etort-89",0.17123
"etort-59","etort-89",0.175097
"etort-62","etort-89",0.172109
"etort-78","etort-89",0.172402
"etort-79","etort-89",0.170963
"etort-80","etort-89",0.170648
"etort-81","etort-89",0.170997
"etort-82","etort-89",0.168133
"etort-83","etort-89",0.169782
"etort-84","etort-89",0.169632
"etort-85","etort-89",0.171303
"etort-86","etort-89",0.171983
"etort-87","etort-89",0.17076
"etort-89","etort-89",0.110578
"etort-15","etort-90",0.170256
"etort-17","etort-90",0.17129
"etort-31","etort-90",0.171997
"etort-36","etort-90",0.171797
"etort-37","etort-90",0.169716
"etort-38","etort-90",0.171633
"etort-46","etort-90",0.16894
"etort-47","etort-90",0.169645
"etort-48","etort-90",0.166392
"etort-49","etort-90",0.172112
"etort-51","etort-90",0.175747
"etort-53","etort-90",0.171024
"etort-55","etort-90",0.168806
"etort-56 (sheared2)","etort-90",0.170541
"etort-58","etort-90",0.170105
"etort-59","etort-90",0.173915
"etort-62","etort-90",0.170879
"etort-78","etort-90",0.171749
"etort-79","etort-90",0.170214
"etort-80","etort-90",0.170206
"etort-81","etort-90",0.16899
"etort-82","etort-90",0.166981
"etort-83","etort-90",0.170109
"etort-84","etort-90",0.169083
"etort-85","etort-90",0.168879
"etort-86","etort-90",0.171475
"etort-87","etort-90",0.170697
"etort-89","etort-90",0.169579
"etort-90","etort-90",0.110349
"etort-15","etort-93",0.166911
"etort-17","etort-93",0.167411
"etort-31","etort-93",0.168349
"etort-36","etort-93",0.163751
"etort-37","etort-93",0.160831
"etort-38","etort-93",0.168611
"etort-46","etort-93",0.172462
"etort-47","etort-93",0.17131
"etort-48","etort-93",0.170011
"etort-49","etort-93",0.17213
"etort-51","etort-93",0.176206
