"etort1","etort2","covariance"
"etort-62","etort-112",0.003322
"etort-78","etort-112",0.001622
"etort-79","etort-112",0.000937
"etort-80","etort-112",0.001266
"etort-81","etort-112",0.000369
"etort-82","etort-112",0.001166
"etort-83","etort-112",0.000619
"etort-84","etort-112",0.000585
"etort-85","etort-112",0.000632
"etort-86","etort-112",0.002014
"etort-87","etort-112",0.000828
"etort-89","etort-112",0.00068
"etort-90","etort-112",0.002141
"etort-93","etort-112",0.001061
"etort-94","etort-112",0.000636
"etort-95","etort-112",0.00238
"etort-112","etort-112",0.180299
"etort-15","etort-113",0.001932
"etort-17","etort-113",0.001427
"etort-31","etort-113",0.003014
"etort-36","etort-113",0.001038
"etort-37","etort-113",0.001823
"etort-38","etort-113",0.001824
"etort-46","etort-113",0.000486
"etort-47","etort-113",0.000336
"etort-48","etort-113",0.000258
"etort-49","etort-113",0.000276
"etort-51","etort-113",-0.000316
"etort-53","etort-113",0.001913
"etort-55","etort-113",0.00033
"etort-56 (sheared2)","etort-113",0.000302
"etort-58","etort-113",0.001852
"etort-59","etort-113",0.001921
"etort-62","etort-113",0.002727
"etort-78","etort-113",0.00127
"etort-79","etort-113",0.000524
"etort-80","etort-113",0.000976
"etort-81","etort-113",0.000517
"etort-82","etort-113",0.000707
"etort-83","etort-113",0.00057
"etort-84","etort-113",0.001019
"etort-85","etort-113",0.000783
"etort-86","etort-113",0.001338
"etort-87","etort-113",9e-04
"etort-89","etort-113",0.000662
"etort-90","etort-113",0.001313
"etort-93","etort-113",0.000889
"etort-94","etort-113",0.000646
"etort-95","etort-113",0.002087
"etort-112","etort-113",0.003839
"etort-113","etort-113",0.181401
"etort-15","etort-130",0.002291
"etort-17","etort-130",0.001898
"etort-31","etort-130",0.00337
"etort-36","etort-130",0.002024
"etort-37","etort-130",0.002775
"etort-38","etort-130",0.002393
"etort-46","etort-130",0.001499
"etort-47","etort-130",0.001313
"etort-48","etort-130",0.001243
"etort-49","etort-130",0.001286
"etort-51","etort-130",0.000789
"etort-53","etort-130",0.002438
"etort-55","etort-130",0.001883
"etort-56 (sheared2)","etort-130",0.001567
"etort-58","etort-130",0.002705
"etort-59","etort-130",0.000676
"etort-62","etort-130",0.002396
"etort-78","etort-130",0.002029
"etort-79","etort-130",0.001965
"etort-80","etort-130",0.001974
"etort-81","etort-130",0.002166
"etort-82","etort-130",0.003
"etort-83","etort-130",0.001928
"etort-84","etort-130",0.00165
"etort-85","etort-130",0.002356
"etort-86","etort-130",0.001935
"etort-87","etort-130",0.001812
"etort-89","etort-130",0.001803
"etort-90","etort-130",0.003656
"etort-93","etort-130",0.001978
"etort-94","etort-130",0.001667
"etort-95","etort-130",0.002553
"etort-112","etort-130",0.001211
"etort-113","etort-130",0.001301
"etort-130","etort-130",0.152532
"etort-15","etort-131",0.002556
"etort-17","etort-131",0.002226
"etort-31","etort-131",0.004033
"etort-36","etort-131",0.002162
"etort-37","etort-131",0.003343
"etort-38","etort-131",0.002651
"etort-46","etort-131",0.001657
"etort-47","etort-131",0.001528
"etort-48","etort-131",0.001344
"etort-49","etort-131",0.001101
"etort-51","etort-131",0.000492
"etort-53","etort-131",0.002681
"etort-55","etort-131",0.001702
"etort-56 (sheared2)","etort-131",0.001531
"etort-58","etort-131",0.00303
"etort-59","etort-131",0.00066
"etort-62","etort-131",0.002566
"etort-78","etort-131",0.002211
"etort-79","etort-131",0.002069
"etort-80","etort-131",0.002207
"etort-81","etort-131",0.001623
"etort-82","etort-131",0.002853
"etort-83","etort-131",0.001989
"etort-84","etort-131",0.002455
"etort-85","etort-131",0.002027
"etort-86","etort-131",0.002249
"etort-87","etort-131",0.001931
"etort-89","etort-131",0.002452
"etort-90","etort-131",0.003608
"etort-93","etort-131",0.001825
