"etort1","etort2","DISTANCE","pi","npi"
"etort-1","etort-135",198.0468845,0.202603,0.241595651573
"etort-1","etort-136",193.5531376,0.204578,0.242812895100525
"etort-1","etort-137",199.2355836,0.206564,0.241212552141537
"etort-1","etort-138",190.6035588,0.20476,0.241554000787578
"etort-1","etort-139",188.7099269,0.205983,0.242552159236586
"etort-1","etort-140",194.4312765,0.204316,0.241327282426054
"etort-1","etort-141",187.5392417,0.205197,0.241579893623897
"etort-1","etort-142",190.8038456,0.203704,0.241392503305843
"etort-1","etort-143",196.2250551,0.20469,0.242544547120129
"etort-1","etort-144",199.3741583,0.205901,0.243841317129266
"etort-1","etort-145",193.534221,0.201821,0.242604491492252
"etort-1","etort-146",189.0120835,0.202772,0.241758813892158
"etort-1","etort-147",191.2315096,0.204862,0.242614457439401
"etort-1","etort-148",210.6798502,0.206228,0.242287743603422
"etort-1","etort-149",204.1409742,0.203682,0.243270497859334
"etort-1","etort-150",189.958994,0.204552,0.243057203763705
"etort-1","etort-151",211.3015994,0.206386,0.242241843828831
"etort-1","etort-152",205.737938,0.204573,0.241427638145162
"etort-1","etort-153",203.7828146,0.20256,0.24101334891659
"etort-1","etort-154",207.5042213,0.205376,0.243122634639959
"etort-1","etort-155",203.6592827,0.204255,0.242736910420288
"etort-1","etort-156",208.5343948,0.201598,0.239546361740346
"etort-1","etort-157",191.0662845,0.204527,0.24149261944438
"etort-1","etort-158",189.5814534,0.205074,0.242678996088656
"etort-1","etort-159",201.5780988,0.204545,0.242280845927636
"etort-1","etort-161",203.7031635,0.205149,0.243171274410136
"etort-1","etort-162",201.437402,0.205104,0.240856291088717
"etort-1","etort-163",192.0635646,0.204563,0.242708679672999
"etort-1","etort-164",192.3907673,0.204302,0.243164923016127
"etort-1","etort-166",192.2474687,0.204248,0.241832105737662
"etort-1","etort-167",193.4577144,0.204464,0.243860066042349
"etort-1","etort-168",189.8206823,0.206202,0.242567562364407
"etort-1","etort-169",189.6891585,0.206189,0.243528876059457
"etort-1","etort-170",196.4444775,0.205007,0.243034826768603
"etort-1","etort-172",199.1079894,0.204612,0.243005829817353
"etort-1","etort-173",197.3976896,0.204928,0.242115817709556
"etort-1","etort-174",194.6951638,0.206518,0.242468683754176
