"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","hab.fact","score","dir"
9.5286e-08,6826.3963,490558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,101021892,32,493997.5,"./run_847271/iter_870186"
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1799.5705,7896.4082,1.0904,41299.1413,201397634,32,497155.3,"./run_646859/iter_221381"
1.1726e-07,13669.1336,713990.4432,713990.4432,4051702.2579,3795724.8729,139976.5135,14159.1834,3523.0331,0.3917,102975.6157,1479185108,32,497734.7,"./run_321810/iter_000025"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,482440493,32,503042.4,"./run_847271/iter_824193"
8.3131e-08,5252.4936,555004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,264066418,32,503945.3,"./run_847271/iter_560028"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7321,43331.5992,988117531,32,505947.6,"./run_847271/iter_505243"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13349.1954,0.6705,43273.2948,261060388,32,507367.5,"./run_847271/iter_578953"
8.3131e-08,5252.4936,554004.5776,586001.7507,3837722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,617079502,32,511266.8,"./run_847271/iter_105498"
8.3131e-08,5252.4936,554004.5776,585001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1867440443,32,514214.6,"./run_847271/iter_598275"
8.4331e-08,5508.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,344512552,32,515783.5,"./run_847271/iter_606235"
8.4131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1896744104,32,516811.3,"./run_847271/iter_849254"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7904,43532.1635,1603072492,32,517788,"./run_847271/iter_836169"
1.1275e-07,17837.7883,681993.2701,777984.7894,3635739.0073,4019705.0848,208381.0337,14859.296,3657.7681,0.3976,151965.7543,505878720,32,518581.7,"./run_321810/iter_000036"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43373.2948,1938928469,32,518909.1,"./run_847271/iter_167062"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,122067.8147,7302.3346,13249.1954,0.6705,43273.2948,1045463458,32,520681.2,"./run_847271/iter_276728"
8.4331e-08,4010.021,427015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,1315577601,32,524885.8,"./run_646859/iter_790345"
9.4286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,936304358,32,526185.9,"./run_847271/iter_494466"
8.4331e-08,5408.7629,547742.9097,594521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1320603284,32,527298.3,"./run_847271/iter_019581"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3945710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,692826316,32,527727.1,"./run_847271/iter_821964"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78980.0249,13993.6725,0.726,43156.9415,610518209,32,528746.4,"./run_847271/iter_606477"
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41199.1413,692029178,32,529974.1,"./run_646859/iter_747427"
9.5286e-08,6926.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1173610409,32,534983,"./run_847271/iter_070957"
8.4331e-08,4110.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,803821132,32,538629.3,"./run_646859/iter_867774"
9.5286e-08,6826.3963,491558.0597,662075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1319027080,32,542253.6,"./run_847271/iter_941135"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13893.6725,0.726,43156.9415,442692204,32,542274.6,"./run_847271/iter_071083"
8.4331e-08,5408.7629,548742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1916000361,32,542558.2,"./run_847271/iter_956997"
8.3117e-08,5251.6236,554970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,854914776,32,544887,"./run_847271/iter_578978"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4005861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,1006981086,32,545040.6,"./run_847271/iter_247231"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129977.6875,14662.0277,0.7894,43532.1635,563134842,32,548009.6,"./run_847271/iter_492278"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.725,43156.9415,1485434667,32,549547.7,"./run_847271/iter_878004"
8.3117e-08,5251.6236,553970.7876,585033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1301525942,32,556134.9,"./run_847271/iter_409371"
8.6112e-08,5539.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,1595290215,32,557846.8,"./run_847271/iter_029538"
1.1466e-07,5210.3728,522007.4045,522007.4045,3795724.8729,4083699.431,108556.1104,6497.7301,15311.2902,0.7782,64852.1381,794438423,32,569060.3,"./run_847271/iter_000041"
8.6112e-08,5639.1776,538610.9194,603501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,519943858,32,569445.2,"./run_847271/iter_176642"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4073060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1104732056,32,571580.2,"./run_847271/iter_248658"
8.6112e-08,5739.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,966011453,32,572399.8,"./run_847271/iter_770381"
1.1185e-07,2991.9622,554004.5776,522007.4045,4211688.1235,3955710.7385,110659.8835,1267.2095,13000.5206,0.7368,30597.4132,982190303,32,576709.2,"./run_646859/iter_000074"
