"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107116.0383,13247.0009,0.712,43266.1273,779387741,403725.6,"./run_847271/iter_554268",500,32
8.4342e-08,5418.5302,547430.2841,592768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,1541753285,403873.8,"./run_847271/iter_656806",500,32
8.4381e-08,5416.5929,547440.7902,593867.5416,3831745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,1490417572,403911.8,"./run_847271/iter_594715",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108459.4211,13410.3217,0.72,43287.7147,115775675,403950.7,"./run_847271/iter_930641",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4053060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,878465700,404970,"./run_847271/iter_713463",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43383.5402,1680654449,405326.1,"./run_847271/iter_889338",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13496.8919,0.7198,43290.7253,78297422,405756.6,"./run_847271/iter_430743",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,604218967,406573.7,"./run_847271/iter_557405",500,32
8.3117e-08,5351.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1192621518,407076.3,"./run_847271/iter_339221",500,32
8.4381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,122991.6485,109392.0599,13395.2689,0.72,43293.1721,1063611394,407877.7,"./run_847271/iter_905839",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43387.7147,1691822828,409512.8,"./run_847271/iter_270108",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43390.7253,349588,409819.7,"./run_847271/iter_494398",500,32
8.4517e-08,5484.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,1605486138,410197.4,"./run_847271/iter_943513",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13288.9793,0.7197,43292.4991,711034756,411249.3,"./run_847271/iter_498247",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3970230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,377448057,411979.3,"./run_847271/iter_602384",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,122939.9147,109477.3396,13388.1999,0.7197,43292.6738,960860852,413152.2,"./run_847271/iter_536673",500,32
8.4381e-08,5516.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,1370335904,413620.7,"./run_847271/iter_344654",500,32
8.2131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1988240706,413987.8,"./run_847271/iter_345647",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3851764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,1922667928,414215.8,"./run_847271/iter_226738",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3991314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,830432318,414730.2,"./run_847271/iter_291438",500,32
8.4357e-08,5433.6213,545947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,947519011,415147.2,"./run_847271/iter_299354",500,32
8.5048e-08,6089.1335,525965.9324,611709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1889071638,415363,"./run_847271/iter_464292",500,32
8.4332e-08,5309.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,11534800,415686.7,"./run_847271/iter_498364",500,32
8.5357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,588804476,415698.8,"./run_847271/iter_659497",500,32
8.3117e-08,5251.6236,553970.7876,587033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,293337467,415763.2,"./run_847271/iter_352673",500,32
8.4342e-08,5518.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,1480365643,415806,"./run_847271/iter_542272",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3863055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,436244667,415960.3,"./run_847271/iter_366811",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3965751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1659213779,415972,"./run_847271/iter_388068",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43190.7253,635624440,416047.7,"./run_847271/iter_970850",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121867.8147,7302.3346,13249.1954,0.6705,43273.2948,1980237252,416102.9,"./run_847271/iter_081153",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123047.7154,108359.4211,13410.3217,0.72,43287.7147,1310432153,416864.5,"./run_847271/iter_913360",500,32
8.4381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109292.0599,13395.2689,0.72,43293.1721,866402405,419752.5,"./run_847271/iter_699860",500,32
8.4342e-08,5418.5302,548430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,277354297,420210,"./run_847271/iter_315070",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3851101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1713300141,420412.9,"./run_847271/iter_930006",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107316.0383,13247.0009,0.712,43266.1273,643415557,420771.6,"./run_847271/iter_125256",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7188,43290.7253,1042923671,420871,"./run_847271/iter_917060",500,32
8.443e-08,5502.2256,544751.4009,594882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,375663036,420979.9,"./run_847271/iter_377450",500,32
8.5048e-08,6089.1335,524965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1241515033,421039.2,"./run_847271/iter_848479",500,32
8.4747e-08,5468.1897,545407.1716,596267.39,3846085.8465,3989137.436,123447.3133,109051.5712,13441.9357,0.7221,43398.1655,1492796949,421245.8,"./run_847271/iter_676656",500,32
