"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","hab.fact","ntrees"
8.5048e-08,6089.1335,526965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1492347544,425170.9,"./run_847271/iter_617049",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3817690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,951322861,425178.4,"./run_847271/iter_653719",32,500
8.3117e-08,5251.6236,552970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,954575357,425849,"./run_847271/iter_764446",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,3991605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,272345186,426443.3,"./run_847271/iter_589921",32,500
8.4357e-08,5433.6213,547947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1080242609,426755.7,"./run_847271/iter_697235",32,500
8.443e-08,5602.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,472341167,426837.3,"./run_847271/iter_230126",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13495.2411,0.7311,43331.5992,1381989400,426872.6,"./run_847271/iter_711329",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.727,43156.9415,401720037,426898.8,"./run_847271/iter_815066",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3877252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1810803850,426958.5,"./run_847271/iter_830045",32,500
8.4379e-08,5354.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1659334546,426976.9,"./run_847271/iter_547580",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43432.1635,1623191010,427764.6,"./run_847271/iter_076729",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123138.4579,107418.3988,13428.9431,0.7201,43283.5402,720646671,429501.4,"./run_847271/iter_016540",32,500
8.4331e-08,5408.7629,547742.9097,592521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1120753393,429621.6,"./run_847271/iter_415175",32,500
4.0872e-07,19592.8493,554004.5776,426015.8851,4051702.2579,4051702.2579,80667.2914,15271.6692,7198.2551,0.3815,36065.4392,148973585,429628,"./run_015059/iter_000069",32,500
8.4117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1251121477,429754.3,"./run_847271/iter_772566",32,500
8.443e-08,5402.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,664331940,432671.4,"./run_847271/iter_749995",32,500
8.3331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1707261477,432937.6,"./run_847271/iter_038837",32,500
8.3131e-08,5352.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1559702044,432980.1,"./run_847271/iter_315056",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3965710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1320953927,433281.9,"./run_847271/iter_446805",32,500
8.3131e-08,5252.4936,554004.5776,587001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1018601624,434821.7,"./run_847271/iter_382751",32,500
8.543e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,379839768,435567,"./run_847271/iter_674141",32,500
8.3379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,137973692,437633.8,"./run_847271/iter_520636",32,500
8.5048e-08,5989.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,951551748,437723,"./run_847271/iter_115316",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3843055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,558300707,438236.6,"./run_847271/iter_261162",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109577.3396,13388.1999,0.7197,43292.6738,258011332,438285.3,"./run_847271/iter_784085",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,122047.6128,107216.0383,13247.0009,0.712,43266.1273,734100546,438520,"./run_847271/iter_744844",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43192.6738,693376264,439453.9,"./run_847271/iter_999164",32,500
8.3117e-08,5151.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,486188044,439709.7,"./run_847271/iter_923084",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,760317397,440363.7,"./run_847271/iter_922029",32,500
8.5048e-08,6189.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1509530780,440368.1,"./run_847271/iter_940564",32,500
6.9108e-07,9674.0092,490010.2314,586001.7507,4051702.2579,4083699.431,49877.3957,23693.7913,2867.0586,1.1796,42041.3921,1474373485,440530.2,"./run_324098/iter_000034",32,500
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,570180783,440571.6,"./run_646859/iter_000087",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7196,43274.0283,47849376,441718.7,"./run_847271/iter_471300",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1192970633,444222.1,"./run_847271/iter_594631",32,500
8.4331e-08,5408.7629,546742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,114084927,445496.5,"./run_847271/iter_687301",32,500
8.5331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1965141001,445830.7,"./run_847271/iter_738474",32,500
8.443e-08,5502.2256,543751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,1378605327,447637.7,"./run_847271/iter_157894",32,500
